Name,About,Portfolio,Founders,Past Investors,Employees,Advisors,Profile Claimed,Portfolio Links,Founder Links,Investor Links,Employee Links,Advisor Links
"Accel Partners","","AdRoll,Baby.com.br,Impermium,BranchOut,Ostrovok,Spotify,UberMedia,Schematic Labs; makers of SoundTracking,Airtime,HotelTonight,KAYAK,Cloudera,Facebook,Venmo,Dropbox,Birchbox,Gumroad,Bonobos,StumbleUpon,Booyah,Cardspring,Hailo,Rockmelt,Dropcam,Trulia,","","Rick Marini,Jim Pitkow,Philip Rosedale,Ed Zimmerman,Keith Lee,Aunkur Arya,Rakesh &quot;Rocky&quot; Mehta,John Robb,Martin Haeberli,Jim Flach","Jeff Hammerbacher,Amr Awadallah,Sam Pullara,Jim Breyer,Daniel Levine,Ping Li,Bob Pasker,Brian OMalley,Kevin Efrusy,In Sik Rhee,Sara Lannin,Jake Flomenberg,Richard Wolpert,Spencer Lazar,Abhay Parekh,Jonathan Siegel,Richard Muirhead,Aman Ghei,Rich Wong,Chrysanthos Chrysanthou,Prayank Swaroop,Reese Jones,Hilary Mason,Oisin Hanrahan,Anand Daniel,Jay LeBoeuf,Bojan Kahvedzic,Dinesh Katiyar,Eckart Walther,Ruoyu Ding,Susan Heiden,James Cameron,Akshay Bhushan,Alex Duncan,Barath Shankar Subramanian","",No,"https://angel.co/adroll,https://angel.co/baby-com-br,https://angel.co/impermium,https://angel.co/branchout,https://angel.co/ostrovok,https://angel.co/spotify,https://angel.co/ubermedia,https://angel.co/schematic-labs-makers-of-soundtracking,https://angel.co/airtime,https://angel.co/hoteltonight,https://angel.co/kayak,https://angel.co/cloudera,https://angel.co/facebook,https://angel.co/venmo,https://angel.co/dropbox,https://angel.co/birchbox,https://angel.co/gumroad,https://angel.co/bonobos,https://angel.co/stumbleupon,https://angel.co/booyah,https://angel.co/cardspring,https://angel.co/hailo,https://angel.co/rockmelt,https://angel.co/dropcam,https://angel.co/trulia,","","https://angel.co/rmarini,https://angel.co/pitkow,https://angel.co/philip-rosedale,https://angel.co/edgrapenutzimm,https://angel.co/keithlee0,https://angel.co/aunkurarya,https://angel.co/rocky-rakesh-mehta,https://angel.co/jrobb,https://angel.co/martin-haeberli,https://angel.co/jimflach","https://angel.co/hammer,https://angel.co/awadallah,https://angel.co/spullara,https://angel.co/jim-breyer,https://angel.co/daniel_levine,https://angel.co/ping_accel,https://angel.co/rbpasker,https://angel.co/brian-omalley,https://angel.co/kefrusy,https://angel.co/in-sik-rhee,https://angel.co/sara-lannin,https://angel.co/jake-flomenberg,https://angel.co/rwolpert,https://angel.co/spencer-lazar,https://angel.co/abhay-parekh,https://angel.co/usiegj00,https://angel.co/richardmuirhead,https://angel.co/aman-ghei,https://angel.co/rich_wong,https://angel.co/chrysanthos-chrysanthou,https://angel.co/prayanks,https://angel.co/reesejones1,https://angel.co/hilary-mason,https://angel.co/oisin-hanrahan,https://angel.co/anand-daniel,https://angel.co/jayleboeuf,https://angel.co/bojan-kahvedzic,https://angel.co/dinesh-katiyar,https://angel.co/eckart-walther,https://angel.co/ruoyu-ding,https://angel.co/soooos7,https://angel.co/james-cameron,https://angel.co/akshay-bhushan,https://angel.co/alex-duncan-1,https://angel.co/barath-shankar-subramanian",""
"Accelerator Ventures","","Hangtime,CarWoo!,Gigwalk,Rixty,DoubleDutch,SocialWire,isocket,Appboy,DataPop,Smartling,Oyster.com,Turiya Media,Marketfish,Artspace,RateitAll","","Michael Kim","Alexander Lloyd,Ben Smith,John Paul Milciunas","",No,"https://angel.co/hangtime-1,https://angel.co/carwoo-1,https://angel.co/gigwalk,https://angel.co/rixty,https://angel.co/doubledutch,https://angel.co/socialwire,https://angel.co/isocket,https://angel.co/appboy,https://angel.co/datapop,https://angel.co/smartling,https://angel.co/oyster-com,https://angel.co/turiya-media,https://angel.co/marketfish,https://angel.co/artspace,https://angel.co/rateitall","","https://angel.co/michaelkim","https://angel.co/alex01,https://angel.co/bentsmithfour,https://angel.co/john-paul-milciunas",""
"ACE & Company","","","","","","",No,"","","","",""
"act venture capital","","","","","","",No,"","","","",""
"Actis","","","","","Feyi Olopade,Neha Manaktala,Omar Samra","",No,"","","","https://angel.co/feyi-olopade,https://angel.co/neha-manaktala,https://angel.co/omarsamra",""
"ACTIVE VENTURE PARTNERS","Active provides companies with capital and also supports them with strategic and operational advice, experience, and access to their international network of contacts. Active has strong connections to local and international technology companies, high profile industry experts and a network of collaborating individual and institutional co-investors. In addition, the founders of the company developed the Venturepreneurs’ Concept, which brings together the knowledge and experience of serial entrepreneurs who also act as venture capitalists.

Because the Founders of Active Venture Partners are entrepreneurs themselves, they work closely with the entrepreneurial community at a local and European level. By channeling the positive energy for building companies Active creates an environment in which entrepreneurs can develop and succeed faster and to a greater extent than their competitors, takes a hands-on role in its portfolio companies and works with them and for them towards a common goal.","Reviewpro,Couchcommerce,Whisbi Technologies,Barnebys,Sanaexpert,Golden Gekko,European Telemedicine Clinic,BuyVIP S.L.,Polymita Technologies,YD World,Packlink","Christopher Pommerening,Philipp Schroeder,Ricard S\u00f6derberg","","Blair MacLaren,Esteve Jane","Christopher Pommerening,Philipp Schroeder,Ricard S\u00f6derberg",Yes,"https://angel.co/reviewpro,https://angel.co/couchcommerce,https://angel.co/whisbi-technologies,https://angel.co/barnebys-1,https://angel.co/sanaexpert,https://angel.co/golden-gekko,https://angel.co/european-telemedicine-clinic,https://angel.co/buyvip-s-l,https://angel.co/polymita-technologies,https://angel.co/yd-world,https://angel.co/packlink","https://angel.co/christopher-pommerening,https://angel.co/philipp-schroeder,https://angel.co/ricardsoderberg","","https://angel.co/blair-maclaren,https://angel.co/esteve-jane","https://angel.co/christopher-pommerening,https://angel.co/philipp-schroeder,https://angel.co/ricardsoderberg"
"Adams Street Partners","","Visible World,Sympoz,Adesto Technologies,Trireme Medical","","","","",No,"https://angel.co/visible-world,https://angel.co/sympoz,https://angel.co/adesto-technologies,https://angel.co/trireme-medical","","","",""
"Advanced Technology Ventures","","Modria,Evergage,Nominum,Actifio,WildTangent,[x+1],Thinking Phone Networks,ChannelAdvisor,Cenzic,Hostanalytics,EndPlay,Alfalight","","","Steve Baloff,Bob Hower,Joshua Feng","",No,"https://angel.co/modria,https://angel.co/evergage,https://angel.co/nominum,https://angel.co/actifio,https://angel.co/wildtangent,https://angel.co/x-1,https://angel.co/thinking-phone-networks,https://angel.co/channeladvisor,https://angel.co/cenzic,https://angel.co/hostanalytics,https://angel.co/endplay,https://angel.co/alfalight","","","https://angel.co/steve-baloff,https://angel.co/bob-hower,https://angel.co/joshua-feng",""
"Adventure Capital","","121cast,York Butter Factory,Brandscreen,Equiem,Axiflux,MoGeneration,Domore.com.au,Oomph,Peazie","Stuart B Richardson,Darcy Naunton","Bevan Clark,Guy King,Adam Broadway,Safwan Shah","Sam Stewart,Nicola Jayne Gracie,Joseph Valente","Stuart B Richardson,Darcy Naunton",Yes,"https://angel.co/121cast,https://angel.co/yorkbutter,https://angel.co/brandscreen,https://angel.co/equiem,https://angel.co/axiflux,https://angel.co/mogeneration,https://angel.co/domore-com-au,https://angel.co/oomph,https://angel.co/peazie","https://angel.co/stuart-b-richardson-1,https://angel.co/darcy-naunton-1","https://angel.co/bevanc,https://angel.co/guyking,https://angel.co/adam-broadway,https://angel.co/safwan-shah","https://angel.co/sam-stewart,https://angel.co/nicolajayne,https://angel.co/joeyvalente","https://angel.co/stuart-b-richardson-1,https://angel.co/darcy-naunton-1"
"Alsop Louie Partners","","Next Big Sound,Gowalla,Justin.tv,Ness Computing,Dijit Media,Framehawk,Cleversafe,Smith &amp; Tinker,Ribbit,TopSchool,Redux,Moonshoot","","Jeff Jonas","Stewart Alsop,Corey Reese,Eli Chait,Ernestine Fu","",No,"https://angel.co/next-big-sound,https://angel.co/gowalla,https://angel.co/justin-tv,https://angel.co/ness-computing,https://angel.co/dijit-media,https://angel.co/framehawk,https://angel.co/cleversafe,https://angel.co/smith-tinker,https://angel.co/ribbit,https://angel.co/topschool,https://angel.co/redux,https://angel.co/moonshoot","","https://angel.co/jeff-jonas","https://angel.co/stewart-alsop,https://angel.co/coreyreese,https://angel.co/eli-chait,https://angel.co/ernestinefu",""
