Name,AL Name,AL ID,AL Link
1Oak Financial Group,1OAK Financial Group,70795,https://angel.co/1oak-financial-group
3i Group,3i Group,124528,https://angel.co/3i-group
Abingworth,Abingworth,193065,https://angel.co/abingworth
Accel Partners,Accel Partners,37930,https://angel.co/accel-partners
Accelerator Ventures,Accelerator Ventures,80916,https://angel.co/accelerator-ventures
ACE & Company,ACE & Company,121074,https://angel.co/ace-company
ACT Venture Capital,act venture capital,269837,https://angel.co/act-venture-capital
Actis,Actis,116668,https://angel.co/actis
Active Venture Partners,ACTIVE VENTURE PARTNERS,206746,https://angel.co/active-venture-partners-1
Adams Street Partners,Adams Street Partners,325823,https://angel.co/adams-street-partners
,,,
,,,
,,,
Advanced Technology Ventures,Advanced Technology Ventures,59322,https://angel.co/advanced-technology-ventures
Advantage Capital Partners,Advantage Capital Partners,342418,https://angel.co/advantage-capital-partners
,,,
,,,
Adventure Capital,Adventure Capital,44829,https://angel.co/adventure-capital
,,,
,,,
,,,
,,,
Aleph,AlephCloud,123867,https://angel.co/alephcloud
,,,
,,,
Alpha Venture Partners,Alpha Venture Partners,306222,https://angel.co/alpha-venture-partners
,,,
Alsop Louie Partners,Alsop Louie Partners,83097,https://angel.co/alsop-louie-partners
,,,
,,,
Alven Capital,Alven Capital Partners,325962,https://angel.co/alven-capital-partners
Amadeus Capital Partners,Amadeus Capital Partners Ltd.,52533,https://angel.co/amadeus-capital-partners-ltd
Ambition.VC,Ambition.vc,279099,https://angel.co/ambition-vc
AME Cloud Ventures,AME Cloud Ventures,268677,https://angel.co/ame-cloud-ventures
,,,
Amicus Capital,Amicus Capital,39403,https://angel.co/amicus-capital
,,,
Amplify Partners,Amplify Partners,238465,https://angel.co/amplify-partners
Andreessen Horowitz,Andreessen Horowitz,37820,https://angel.co/andreessen-horowitz
,,,
,,,
Anthos Capital,anthos capital,232497,https://angel.co/anthos-capital
Anu Connect Ventures,ANU Connect Ventures,209752,https://angel.co/anu-connect-ventures
AOL Ventures,AOL Ventures,81146,https://angel.co/aol-ventures
Apax Partners,Apax Partners,190013,https://angel.co/apax-partners
,,,
,,,
appWorks Ventures,appWorks Ventures,25349,https://angel.co/appworks-ventures
,,,
,,,
,,,
,,,
ARCH Venture Partners,ARCH Venture Partners,215805,https://angel.co/arch-venture-partners
Ariadne Capital,Ariadne Capital,40079,https://angel.co/ariadne-capital
Arsenal Venture Partners,Arsenal Venture Partners,142954,https://angel.co/arsenal-venture-partners
Artiman Ventures,Artiman Ventures,61434,https://angel.co/artiman-ventures
ARTIS Ventures,ARTIS VENTURES,169320,https://angel.co/artisventures
Arts Alliance Ventures,Arts Alliance Ventures,65200,https://angel.co/arts-alliance-ventures
,,,
Asset Management Ventures,Asset Management Ventures,89121,https://angel.co/asset-management-ventures
ATA Ventures,ATA Ventures,38265,https://angel.co/ata-ventures
Atlantic Bridge,Atlantic Bridge,206181,https://angel.co/atlantic-bridge
,,,
Atlas Venture,Atlas Venture,38033,https://angel.co/atlas-venture
Atomico,Atomico,42561,https://angel.co/atomico
,,,
,,,
August Capital,August Capital,38497,https://angel.co/august-capital
,,,
Austin Ventures,Austin Ventures,68611,https://angel.co/austin-ventures
,,,
Avalon Ventures,Avalon Ventures,39527,https://angel.co/avalon-ventures
,,,
,,,
,,,
,,,
,,,
Azure Capital Partners,Azure Capital Partners,45267,https://angel.co/azure-capital-partners
,,,
