Name,AL Name,AL ID,AL Link
"1CorpTech","","",""
"1Oak Financial Group","1OAK Financial Group","70795","https://angel.co/1oak-financial-group"
"3i Group","3i Group","124528","https://angel.co/3i-group"
"3M New Ventures","Motion Math","2744","https://angel.co/motion-math"
"8 Miles","Gladiator Entertainment","87924","https://angel.co/gladiator-entertainment"
"A-Grade Investments","Alist.vc","279553","https://angel.co/alist-vc"
"Abingworth","Abingworth","193065","https://angel.co/abingworth"
"Acacia Capital Partners","","",""
"Accede Capital","","",""
"Accel Partners","Accel Partners","37930","https://angel.co/accel-partners"
"Accelerator Ventures","Accelerator Ventures","80916","https://angel.co/accelerator-ventures"
"ACE & Company","ACE &amp; Company","121074","https://angel.co/ace-company"
"Acorn Ventures","","",""
"ACT Venture Capital","act venture capital","269837","https://angel.co/act-venture-capital"
"Actis","Actis","116668","https://angel.co/actis"
"Active Venture Partners","ACTIVE VENTURE PARTNERS","206746","https://angel.co/active-venture-partners-1"
"Acton Capital Partners","","",""
"Adams Street Partners","Adams Street Partners","325823","https://angel.co/adams-street-partners"
"Adara Venture Partners","","",""
"Ade Capital Sodical","","",""
"Adobe Ventures","","",""
"Advanced Technology Ventures","Advanced Technology Ventures","59322","https://angel.co/advanced-technology-ventures"
"Advantage Capital Partners","Advantage Capital Partners","342418","https://angel.co/advantage-capital-partners"
"Advantage Creative Fund","DeRev","269481","https://angel.co/derev"
"Advent Venture Partners","","",""
"Adventure Capital","Adventure Capital","44829","https://angel.co/adventure-capital"
"African Lion","TIGRESS FILMS","356064","https://angel.co/tigress-films"
"AIP Venture Capital & Private Equity","","",""
"Aisling Capital","","",""
"Albion Ventures","","",""
"Aleph","AlephCloud","123867","https://angel.co/alephcloud"
"Alfred Wieder AG","","",""
"Alloy Ventures","","",""
"Alpha Venture Partners","Alpha Venture Partners","306222","https://angel.co/alpha-venture-partners"
"Alpine Equity","","",""
"Alsop Louie Partners","Alsop Louie Partners","83097","https://angel.co/alsop-louie-partners"
"Alta Partners","Altaris Capital Partners","281651","https://angel.co/altaris-capital-partners"
"Altos Ventures","","",""
"Alven Capital","Alven Capital Partners","325962","https://angel.co/alven-capital-partners"
"Amadeus Capital Partners","Amadeus Capital Partners Ltd.","52533","https://angel.co/amadeus-capital-partners-ltd"
"Ambition.VC","Ambition.vc","279099","https://angel.co/ambition-vc"
"AME Cloud Ventures","AME Cloud Ventures","268677","https://angel.co/ame-cloud-ventures"
"Amgen Ventures","","",""
"Amicus Capital","Amicus Capital","39403","https://angel.co/amicus-capital"
"Ammer!Partners","","",""
"Amplify Partners","Amplify Partners","238465","https://angel.co/amplify-partners"
"Andreessen Horowitz","Andreessen Horowitz","37820","https://angel.co/andreessen-horowitz"
"Antera Asset Management","","",""
"Anthem Venture Partners","","",""
"Anthos Capital","anthos capital","232497","https://angel.co/anthos-capital"
"Anu Connect Ventures","ANU Connect Ventures","209752","https://angel.co/anu-connect-ventures"
"AOL Ventures","AOL Ventures","81146","https://angel.co/aol-ventures"
"Apax Partners","Apax Partners","190013","https://angel.co/apax-partners"
"Applied Ventures","New Brunswick Innovation Foundation","122443","https://angel.co/new-brunswick-innovation-foundation"
"Apposite Capital","","",""
"appWorks Ventures","appWorks Ventures","25349","https://angel.co/appworks-ventures"
"Aqua Capital Partners","","",""
"Aquarius Equity Partners","","",""
"ARAX Capital","","",""
"ARC Financial","River City Financial YOUR Mortgage Architects","218056","https://angel.co/river-city-financial-your-mortgage-architects"
"ARCH Venture Partners","ARCH Venture Partners","215805","https://angel.co/arch-venture-partners"
"Ariadne Capital","Ariadne Capital","40079","https://angel.co/ariadne-capital"
"Arsenal Venture Partners","Arsenal Venture Partners","142954","https://angel.co/arsenal-venture-partners"
"Artiman Ventures","Artiman Ventures","61434","https://angel.co/artiman-ventures"
"ARTIS Ventures","ARTIS VENTURES","169320","https://angel.co/artisventures"
"Arts Alliance Ventures","Arts Alliance Ventures","65200","https://angel.co/arts-alliance-ventures"
"Ascension Ventures","","",""
"Asset Management Ventures","Asset Management Ventures","89121","https://angel.co/asset-management-ventures"
"ATA Ventures","ATA Ventures","38265","https://angel.co/ata-ventures"
"Atlantic Bridge","Atlantic Bridge","206181","https://angel.co/atlantic-bridge"
"Atlantic Ventures","New Atlantic Ventures","80822","https://angel.co/new-atlantic-ventures"
"Atlas Venture","Atlas Venture","38033","https://angel.co/atlas-venture"
"Atomico","Atomico","42561","https://angel.co/atomico"
"Augment Investments","Pix Vine Capital (PixVC)","307173","https://angel.co/pix-vine-capital-pixvc"
"Augmentum Capital","","",""
"August Capital","August Capital","38497","https://angel.co/august-capital"
"Aurelia Private Equity","","",""
"Austin Ventures","Austin Ventures","68611","https://angel.co/austin-ventures"
"Austral Capital","Pharmeasy - Started as CFO As a start-up C-level executive and corporate services manager, developed the business plan, financial model forecasts, and Australian Security Exchange (ASX) listing documentation and capitalization, before moving into the GM r","231481","https://angel.co/pharmeasy-started-as-cfo-as-a-start-up-c-level-executive-and-corporate-services-manager-developed-the-business-plan-financial-model-forecasts-and-australian-security-exchange-asx-listing-documentation-and-capitalization-before-moving-into-the-gm-role-to-s"
"Avalon Ventures","Avalon Ventures","39527","https://angel.co/avalon-ventures"
"Avlar BioVentures","","",""
"Ax Ventures","Axia Ventures","191353","https://angel.co/axia-ventures"
"AXM Venture Capital Limited","","",""
"Axon Partners Group","","",""
"Azini Capital Partners","","",""
"Azure Capital Partners","Azure Capital Partners","45267","https://angel.co/azure-capital-partners"
"b-to-v Partners AG","Adaptly","60","https://angel.co/adaptly"
"B.C. Advantage Funds","","",""
"Bain Capital Ventures","Bain Capital Ventures","40114","https://angel.co/bain-capital-ventures"
"Balderton Capital","Balderton Capital","38455","https://angel.co/balderton-capital"
"Band of Angels","Band of Angels","39931","https://angel.co/band-of-angels"
"Baroda Ventures","Baroda Ventures","131834","https://angel.co/baroda-ventures"
"Baseline Ventures","Baseline Ventures","34739","https://angel.co/baseline-ventures"
"Battery Ventures","Battery Ventures","38389","https://angel.co/battery-ventures"
"Bay Partners","China Bay Partners","38722","https://angel.co/china-bay-partners"
"Bayview Capital","","",""
"BC Discovery Fund","","",""
"BDC Venture Capital","BDC Venture Capital","140732","https://angel.co/bdc-venture-capital"
"Bee Partners","Bee Partners","185247","https://angel.co/bee-partners"
"Benchmark","Benchmark Capital","38672","https://angel.co/benchmark-capital"
"Bessemer Venture Partners","Bessemer Venture Partners","38772","https://angel.co/bessemer-venture-partners"
"BEST Funds","BEST Funds - Venture Capital &amp; Private Equity","58267","https://angel.co/best-funds-venture-capital-private-equity"
"Bestport Ventures","","",""
"betaworks","Betaworks","32061","https://angel.co/betaworks"
"Bioventures Investors","","",""
"Birchmere Ventures","Birchmere Ventures","270635","https://angel.co/birchmere-ventures"
"Blackbird Ventures (Australia)","","",""
"Bloomberg Beta","Bloomberg Beta","217456","https://angel.co/bloomberg-beta"
"BlueRun Ventures","BlueRun Ventures","39517","https://angel.co/bluerun-ventures"
"Blumberg Capital","Blumberg Capital","72874","https://angel.co/blumberg-capital"
"Blume Ventures","Blume Ventures","65584","https://angel.co/blume-ventures"
"BOLDstart Ventures","boldstart ventures","104708","https://angel.co/boldstart-ventures"
"Bowery Capital","Bowery Capital","204222","https://angel.co/bowery-capital"
"BoxGroup","BoxGroup","146154","https://angel.co/boxgroup"
"BPE","BPE Fund Investor GmbH","169518","https://angel.co/bpe-fund-investor-gmbh"
"Brandon Capital Partners","Brandon Capital Partners","213805","https://angel.co/brandon-capital-partners"
"Brightspark Ventures","Brightspark","85424","https://angel.co/brightspark"
"Brooklyn Bridge Ventures","Brooklyn Bridge Ventures","63972","https://angel.co/brooklyn-bridge-ventures"
"Bullnet Gestion SGECR","","",""
"Bullpen Capital","Bullpen Capital","1981","https://angel.co/bullpen-capital"
"Burch Creative Capital","Burch Creative Capital","236160","https://angel.co/burch-creative-capital"
"CAA Ventures","","",""
"California Technology Ventures","California Technology Ventures","216120","https://angel.co/california-technology-ventures"
"Canaan Partners","Canaan Partners","39093","https://angel.co/canaan-partners"
"Canyon Creek Capital","Canyon Creek Capital","144651","https://angel.co/canyon-creek-capital"
"Cape Fund","IMAF cape fear angel fund","299033","https://angel.co/imaf-cape-fear-angel-fund"
"Capnamic Ventures","Capnamic Ventures","253715","https://angel.co/capnamic-ventures"
"Capricorn Investment Group","Capricorn Investment Group","258371","https://angel.co/capricorn-investment-group"
"Carmel Ventures","Carmel Ventures","45223","https://angel.co/carmel-ventures"
"Catapult Venture Managers","","",""
"Celtic House Venture Partners","","",""
"CentreStone Ventures","","",""
"CFH","","",""
"Champ Private Equity","Vumero","24040","https://angel.co/vumero"
"CHAMP Ventures","","",""
"Charles River Ventures","Charles River Ventures","37819","https://angel.co/charles-river-ventures"
"Chart Venture Partners","Chart Venture Partners","262770","https://angel.co/chart-venture-partners"
"Chicago Growth Partners","Reppio","300853","https://angel.co/reppio-1"
"Chrysalix EVC","","",""
"Cipio Partners","Cipio Partners","216220","https://angel.co/cipio-partners"
"Cisco","Cisco","33498","https://angel.co/cisco"
"Clarendon Fund Managers","","",""
"Clave Mayor","Clave Mayor","72334","https://angel.co/clave-mayor"
"Clean Energy Venture Group","Clean Energy Venture Development Group","261420","https://angel.co/clean-energy-venture-development-group"
"Cleantech Ventures","Cleantech, Social Ventures, Tech.","318615","https://angel.co/cleantech-social-ventures-tech"
"Clearpoint Ventures","","",""
"Clearstone Venture Partners","","",""
"CM Capital Investments","Favsales","174796","https://angel.co/favsales-1"
"Coatue Management","","",""
"Collaborative Fund","Collaborative Fund","69753","https://angel.co/collaborative-fund"
"Columbia Capital","Columbia Capital","39493","https://angel.co/columbia-capital"
"Columbia Partners Private Capital","","",""
"Comcast Ventures","Comcast Ventures","37897","https://angel.co/comcast-ventures"
"Conduit Ventures","","",""
"Confrapar","Confrapar.com.br","42756","https://angel.co/confrapar-com-br"
"Connect Ventures","Connect Ventures","63234","https://angel.co/connect-ventures"
"Connecticut Innovations","Connecticut Innovations","163310","https://angel.co/connecticut-innovations"
"Core VC","Apptopia","71368","https://angel.co/apptopia"
