Name,Firm,Blog,Link,Average Monthly Uniques
Fred Wilson,Union Square Ventures,A VC,http://www.avc.com/a_vc/,100279
Guy Kawasaki,Garage Technology Ventures,How To Change The World,http://blog.guykawasaki.com/,82838
Paul Graham,YCombinator,Essays,http://www.paulgraham.com/articles.html,71924
Brad Feld,Foundry Group,Feld Thoughts,http://www.feld.com/wp/,45633
Mark Suster,GRP Partners,Both Sides of the Table,http://www.bothsidesofthetable.com/,39389
Bill Gurley,Benchmark Capital,Above The Crowd,http://abovethecrowd.com/,23084
Dave McClure,Founders Fund,Master of 500 Hats,http://500hats.typepad.com/,21462
Josh Kopelman,First Round Capital,Redeye VC,http://redeye.firstround.com/,12972
Bijan Sabet,Spark Capital,Bijan Sabet,http://bijansabet.com/,12451
Jeremy Liew,Lightspeed Ventures Partners,LSVP,http://lsvp.wordpress.com/,12097
Mark Peter Davis,DFJ Gotham Ventures,Venture Made Transparent,http://www.markpeterdavis.com/getventure/,12010
Larry Cheng,Volition Capital,Thinking About Thinking,http://www.larrycheng.com/,11851
Eric Friedman,Union Square Ventures,Marketing.fm,http://marketing.fm/,11520
Multiple Authors,Union Square Ventures,Union Square Ventures Blog,http://www.unionsquareventures.com/,11408
Albert Wenger,Union Square Ventures,Continuations,http://continuations.com/,9729
Christine Herron,First Round Capital,Christine.net,http://www.christine.net/,9561
Mendelson/Feld,Foundry Group,Ask The VC,http://www.askthevc.com/blog/index.php,9270
Seth Levine,Foundry Group,VC Adventure,http://www.sethlevine.com/blog/,8206
Nic Brisbourne,Esprit Capital Partners,The Equity Kicker,http://www.theequitykicker.com/,8052
Fred Destin,Atlas Venture,Fred Destin&rsquo;s Blog ,http://www.freddestin.com/blog/,7928
Ryan Spoon,Polaris Venture Partners,ryanspoon.com,http://ryanspoon.com/blog/,7904
Jason Mendelson,Foundry Group,Mendelson&rsquo;s Musings,http://www.jasonmendelson.com/wp/,7763
Jon Steinberg,Polaris Venture Partners,Jon Steinberg,http://www.jonsteinberg.com/,7595
Marc Andreesen,TBD,Blog.pmarca.com,http://blog.pmarca.com/,6982
David Cowan,Bessemer Venture Partners,Who Has Time For This?,http://whohastimeforthis.blogspot.com/,6744
Roger Ehrenberg,IC Capital Ventures,Information Arbitrage,http://www.informationarbitrage.com/,6396
Dan Rua,Inflexion Partners,Florida Venture Blog,http://www.floridaventureblog.com/,6278
David Hornik,August Capital,VentureBlog,http://www.ventureblog.com/,5920
Stewart Alsop,Alsop-Louie Partners,Alsop-Louie Partners,http://www.alsop-louie.com/,5346
Ted Rogers,PPI Ventures,Venture Capital Brazil,http://vc-brazil.com/blog/,5146
Ed Sim,Dawntreader Ventures,Beyond VC,http://www.beyondvc.com/,3973
Jeff Bussgang,Flybridge Capital Partners,Seeing Both Sides,http://bostonvcblog.typepad.com/,3224
Ouriel Ohayon,Lightspeed Gemini Internet Lab,MYBLOG by Ouriel,http://ouriel.typepad.com/,3102
Rick Segal,JLA Ventures,The Post Money Value,http://ricksegal.typepad.com/pmv/,2723
David Lerner,Totius Group,David B. Lerner,http://www.davidblerner.com/david_b_lerner/,2627
Rob Hayes,First Round Capital,Permanent Record,http://permanentrecord.firstround.com/,2596
Rich Tong,Ignition Partners,Tongfamily,http://www.tongfamily.com/,2589
Mike Speiser,SutterHill Ventures,Laserlike,http://laserlike.com/,2324
Will Price,Hummer Winblad,Will Price,http://willprice.blogspot.com/,2066
Peter Rip,Crosslink Capital,EarlyStageVC,http://earlystagevc.typepad.com/,1926
Rob Go,Spark Capital,robgo.org,http://www.robgo.org/,1908
Chris Fralic,First Round Capital,Nothing To Say,http://nothingtosay.firstround.com/,1826
Matt Winn,Chrysalis Ventures,Punctuative!,http://punctuative.com/,1757
Satya Patel,Battery Ventures,Venture Generated Content,http://venturegeneratedcontent.com/,1744
Multiple Authors,Highway 12 Ventures,Highway 12 Ventures Group,http://highway12ventures.com/blog/,1700
David Beisel,Venrock Associates,GenuineVC,http://www.genuinevc.com/,1590
John Ludwig,Ignition Partners,A Little Ludwig Goes A Long Way,http://theludwigs.com/,1562
Sarah Tavel,Bessemer Venture Partners,Adventurista,http://www.adventurista.com/,1518
Mike Hirshland,Polaris Venture Partners,VC Mike&rsquo;s Blog,http://vcmike.wordpress.com/,1492
Martin Tobias,Ignition Partners,Deep Green Crystals,http://www.deepgreencrystals.com/,1426
Christopher Allen,Alacrity Ventures,Life With Alacrity,http://www.lifewithalacrity.com/,1283
Mo Koyfman,Spark Capital,Mo Koyfman,http://www.mokoyfman.com/,1128
Derek Pilling,Meritage Funds,Non-Linear VC,http://www.derekpilling.com,1090
Kent Goldman,First Round Capital,The Cornice,http://thecornice.com/,1084
Greg Foster,Noro-Moseley Ventures,SouthernVC,http://southernvc.com/,1082
David Aronoff,Flybridge Capital Partners,Diary of a Geek VC,http://www.geekvc.com/geekvc/Blog/Blog.html,847
Matt McCall,DFJ Portage Venture Partners,VC Confidential,http://www.vcconfidential.com/,844
Lee Hower,Point Judith Capital,Venturesome,http://www.leehower.com/,802
Allan Veeck,Pittsburgh Ventures,Pittsburgh Ventures,http://www.pittsburghventures.com/,789
Paul Fisher,Advent Venture Partners,The Coffee Shops of Mayfair,http://www.thecoffeeshopsofmayfair.com/,777
Rob Finn,Edison Venture,Ventureblogalist,http://www.ventureblogalist.com/,734
Jason Caplain,Southern Capitol Ventures,Southeast VC,http://southeastvc.blogs.com/southeast_vc/,723
Baris Karadogan,Com Ventures,From Istanbul to Sand Hill Road,http://baris.typepad.com/,712
David Feinleib,Mohr Davidow Ventures,Tech; Startups; Capital; Ideas.,http://www.vcdave.com/,709
Ryan McIntyre,Foundry Group,McInblog,http://www.ryanmcintyre.com/blog/,675
Marc Averitt,Okapi Venture Capital,OC VC,http://ocvcblog.com/about-2/,654
James Chen,CXO Ventures,PureVC,http://www.purevc.com/pure_vc/,551
David Pakman,Venrock Associates,A Venture Forth,http://www.aventureforth.com/,646
Rachel Strate,EPIC Ventures,Wasatch Girl,http://www.wasatchgirl.com/,528
Jeff Joseph,Prescient Capital Partners,Venture Populist,http://www.venturepopulist.com/,446
Max Niederhofer,Atlas Venture,Life In The J Curve; baby,http://maxniederhofer.com/,445
Jason Ball,Qualcomm Ventures Europe,TechBytes,http://www.jasonball.com/techbytes/,413
Pascal Levensohn,Levensohn Venture Partners,pascalsview,http://www.pascalsview.com/pascalsview/,397
Saul Klein,Index Ventures,LocalGlo.be,http://www.localglo.be/,102
