Firm,Investment Stage,Minimum Investment,Maximum Investment,Location,Country,Fund Size,Link
"D. E. Shaw Group, The-Hyderabad-India","Early Stage","","20000000000.0","Hyderabad, Andhra Pradesh","India","28000000000.0","http://venture-capital-firms.findthebest.com/l/443/D-E-Shaw-Group-The-Hyderabad-India"
"ARCH Venture Partners-Chicago-Illinos","Early Stage/Startup/Seed","","","Chicago, Illinois","United States","1500000000.0","http://venture-capital-firms.findthebest.com/l/405/ARCH-Venture-Partners-Chicago-Illinos"
"Fuse Capital-Palo Alto-California","Early Stage","","10000000000.0","Palo Alto, California","United States","1500000000.0","http://venture-capital-firms.findthebest.com/l/302/Fuse-Capital-Palo-Alto-California"
"FTV Capital-San Francisco-California","Early Stage/Later Stage","10000000000.0","75000000000.0","San Francisco, California","United States","1000000000.0","http://venture-capital-firms.findthebest.com/l/194/FTV-Capital-San-Francisco-California"
"ARCH Venture Partners-San Francisco-California","Early Stage/Startup/Seed","","","San Francisco, California","United States","1500000000.0","http://venture-capital-firms.findthebest.com/l/408/ARCH-Venture-Partners-San-Francisco-California"
"Advanced Technology Ventures - Palo Alto","Early Stage","","","Palo Alto, California","United States","1600000000.0","http://venture-capital-firms.findthebest.com/l/11/Advanced-Technology-Ventures-Palo-Alto"
"Edison Venture Fund-Cleveland-Ohio","Expansion","5000000.0","10000000.0","Cleveland, Ohio","United States","249000000.0","http://venture-capital-firms.findthebest.com/l/926/Edison-Venture-Fund-Cleveland-Ohio"
"VantagePoint Venture Partners-Montreal-Quebec","Later Stage/Expansion/Early Stage/Startup/Seed","","","Montreal, Quebec","Canada","4000000000.0","http://venture-capital-firms.findthebest.com/l/99/VantagePoint-Venture-Partners-Montreal-Quebec"
"Wavepoint Ventures-Menlo Park-California","Early Stage","","","Menlo Park, California","United States","","http://venture-capital-firms.findthebest.com/l/735/Wavepoint-Ventures-Menlo-Park-California"
"Pasadena Angels","Startup/Seed/Early Stage","","","Altadena, California","United States","","http://venture-capital-firms.findthebest.com/l/1358/Pasadena-Angels"
"Devon Park Bioventures","","","","Wayne, Pennsylvania","United States","","http://venture-capital-firms.findthebest.com/l/1245/Devon-Park-Bioventures"
"Emergence Capital Partners","Early Stage/Expansion","","","San Mateo, California","United States","575000000.0","http://venture-capital-firms.findthebest.com/l/1259/Emergence-Capital-Partners"
"VCE Capital-Bossier City-Louisiana","Early Stage/Expansion","","","Bossier City, Louisiana","United States","","http://venture-capital-firms.findthebest.com/l/754/VCE-Capital-Bossier-City-Louisiana"
"Lerer Ventures","Startup/Seed/Early Stage","","","New York, New York","United States","69500000.0","http://venture-capital-firms.findthebest.com/l/1320/Lerer-Ventures"
"Apax Partners, Inc. - Shanghai - China","Later Stage/Expansion/Early Stage/Startup/Seed","","60000000.0","Shanghai","China","109000000.0","http://venture-capital-firms.findthebest.com/l/144/Apax-Partners-Inc-Shanghai-China"
"SJF Ventures-New York","Expansion","","","New York, New York","United States","","http://venture-capital-firms.findthebest.com/l/677/SJF-Ventures-New-York"
"Schroder Ventures Life Sciences - Boston - Massachusetts","Startup/Seed/Early Stage","1000000000.0","40000000000.0","Boston, Massachusetts","United States","2000000000.0","http://venture-capital-firms.findthebest.com/l/85/Schroder-Ventures-Life-Sciences-Boston-Massachusetts"
"Apex Venture Partners&nbsp;","Startup/Seed/Early Stage","","","Chicago, Illinois","United States","","http://venture-capital-firms.findthebest.com/l/1194/Apex-Venture-Partners"
"Felicis Ventures","Early Stage/Startup/Seed","","","Palo Alto, California","United States","110000000.0","http://venture-capital-firms.findthebest.com/l/816/Felicis-Ventures"
"Spectrum Equity-Menlo Park-California","Expansion","25000000000.0","1e+11","Menlo Park, California","United States","4700000000.0","http://venture-capital-firms.findthebest.com/l/687/Spectrum-Equity-Menlo-Park-California"
"Advantage Capital Partners-Connecticut","Early Stage/Expansion/Later Stage","","10000000000.0","Avon, Connecticut","United States","8000000000.0","http://venture-capital-firms.findthebest.com/l/1155/Advantage-Capital-Partners-Connecticut"
"Kepha Partners","Early Stage/Startup/Seed","","1000000.0","Waltham, Massachusetts","United States","74000000.0","http://venture-capital-firms.findthebest.com/l/867/Kepha-Partners"
"Institutional Venture Partners (IVP)-Menlo Park","Later Stage","10000000000.0","1e+11","Menlo Park, California","United States","4000000000.0","http://venture-capital-firms.findthebest.com/l/695/Institutional-Venture-Partners-IVP-Menlo-Park"
"Greycroft Partners-Santa Monica-California","Early Stage/Expansion/Startup/Seed","","5000000.0","Santa Monica, California","United States","393000000.0","http://venture-capital-firms.findthebest.com/l/714/Greycroft-Partners-Santa-Monica-California"
"Landmark Partners LLC - London","Expansion","","","London","","9100000000.0","http://venture-capital-firms.findthebest.com/l/1107/Landmark-Partners-LLC-London"
"SightLine Partners-Minneapolis-Minnesota","Later Stage","","","Minneapolis, Minnesota","United States","","http://venture-capital-firms.findthebest.com/l/672/SightLine-Partners-Minneapolis-Minnesota"
