mattermark,,,,,,,
,,,,,,,
 All Companies,,,,,,,
 Getting Started,,,,,,,
 VC Portfolios,,,,,,,
 Angel Portfolios,,,,,,,
 Accelerators,,,,,,,
 Funding Rounds,,,,,,,
 News Mentions,,,,,,,
 Saved Searches,,,,,,,
 Watch List,,,,,,,
0,,,,,,,
 Custom Lists,,,,,,,
Getting Started: use this Funding Rounds tab to see deals your competitors have done.,,,,,,,
 Investors,,,,,,,
 Filters,,,,,,,
 Columns,,,,,,,
"Showing 1 to 50 of 49,665 entries (filtered from 76,719 total entries)",,,,,,,
FirstPrevious12345NextLast,,,,,,,
Investors,Company Name,Series,Date of Funding,Amount,Currency,News,Source
Crossbar Capital,BitWine,A,3/12/14,"$1,500,000 ",USD,,Crunchbase
Harold L. Vogel,Transmedia Corporation,Angel,3/12/14,"$6,500,000 ",USD,,Crunchbase
TriplePoint Capital,TiVo,Debt,3/12/14,$0 ,,,Crunchbase
Cedar Fund,NewACT,A,3/12/14,"$3,000,000 ",USD,,Crunchbase
Cedar Fund,NewACT,B,3/12/14,"$3,500,000 ",USD,,Crunchbase
Virginia's Center for Innovative Technology,Paxfire,Seed,3/12/14,"$100,000 ",USD,,Crunchbase
"Asia Capital, Daylight Ventures",VideoClix,Unknown,3/12/14,"$9,600,000 ",USD,,Crunchbase
TriplePoint Capital,WebTV,Debt,3/12/14,$0 ,,,Crunchbase
Draper Fisher Jurvetson (DFJ),Wigix,A,3/12/14,"$5,340,000 ",USD,,Crunchbase
Quest Venture Partners,Fididel,Seed,3/12/14,$0 ,,,Crunchbase
Radar Partners,Citizen Sports,Unknown,3/12/14,"$10,000,000 ",USD,,Crunchbase
Media Ventures,twidox,Seed,3/12/14,$0 ,,,Crunchbase
"Cian Kinsella, Brian O'Driscoll, Barry Egan",Time Warden,Seed,3/12/14,$0 ,,,Crunchbase
SW Cheng,Woldme,Angel,3/12/14,"$1,500,000 ",USD,,Crunchbase
"Illinois Ventures, I2A Fund",Radio One Llama,A,3/12/14,"$1,000,000 ",USD,,Crunchbase
ConsensusOne Ventures,For Your Imagination,Angel,3/12/14,"$1,300,000 ",USD,,Crunchbase
"Granite Ventures, Allegis Capital, Pennsylvania Equity Partners",StepUp,Unknown,3/12/14,"$10,000,000 ",USD,,Crunchbase
Granite Ventures,StepUp,Unknown,3/12/14,"$6,600,000 ",USD,,Crunchbase
"Constellation Ventures, Columbia Ventures",MediaXstream,A,3/12/14,"$10,000,000 ",USD,,Crunchbase
Self funded,Trutoon,Seed,3/12/14,$0 ,,,Crunchbase
"Paul Sagan, Benjamin Taylor, Amos Hofstetter",Global News Enterprises,A,3/12/14,"$8,200,000 ",USD,,Crunchbase
Kansas Bioscience Authority,VasoGenix,Unknown,3/12/14,"$400,000 ",USD,,Crunchbase
"Convexa Capital Ventures, iEnergies",Stellaris,A,3/12/14,"$6,000,000 ",USD,,Crunchbase
Mekong Capital,DigiSat Technology,Unknown,3/12/14,"$5,000,000 ",USD,,Crunchbase
Entropy Ventures,Solar & Environmental Technologies,A,3/12/14,"$3,000,000 ",USD,,Crunchbase
"Illinois Ventures, I2A Fund",One Llama Media,A,3/12/14,"$1,000,000 ",USD,,Crunchbase
Shotput Ventures,OpenHatch,Seed,3/12/14,$0 ,,,Crunchbase
Shotput Ventures,EventHive,Seed,3/12/14,$0 ,,,Crunchbase
Dhillon Capital,Jaman,Unknown,3/12/14,$0 ,,,Crunchbase
Kima Ventures,SimpliField,Unknown,3/12/14,"$450,000 ",EUR,,Crunchbase
"The Logia Group, IDT",8hands,Seed,3/12/14,"$1,000,000 ",USD,,Crunchbase
"Tiger Global Management, Ribbit Capital, Susquehanna Growth Equity, Google Capital",Credit Karma,C,3/12/14,"$85,000,000 ",USD,,Crunchbase
Global Bay Mobile Technologies,Global Bay Mobile Technologies,Angel,3/12/14,$0 ,,,Crunchbase
Norm Miller of Interstate Batteries,GodTube,A,3/12/14,"$2,500,000 ",USD,,Crunchbase
PB,Partnerbyte,Seed,3/12/14,"$100,000 ",USD,,Crunchbase
Threebrix E-services Pvt Ltd,Wonderstyx Internet Solutions Pvt Ltd,Angel,3/12/14,$0 ,,,Crunchbase
Glenwood Group,Gruvie,Seed,3/12/14,$0 ,,,Crunchbase
SK Telecom,Magic Tech Network,Unknown,3/12/14,"$7,800,000 ",USD,,Crunchbase
"European Founders Fund, Holtzbrinck",kontoblick,Angel,3/12/14,$0 ,,,Crunchbase
Global Bay Mobile,Global Bay Mobile,Angel,3/12/14,$0 ,,,Crunchbase
TELUS Ventures,PatientSafe Solutions,D,3/12/14,"$3,000,000 ",USD,,Crunchbase
General Catalyst Partners,L2 Think Tank,Unknown,3/12/14,"$16,500,000 ",USD,,Crunchbase
Bessemer Venture Partners,BrightBytes,B,3/12/14,"$15,000,000 ",USD,,Crunchbase
SJF Ventures,Validic,Convertible,3/12/14,"$1,250,000 ",USD,,Crunchbase
"Enterprise Ventures , The North West Fund for Venture Capital",Millican,Unknown,3/12/14,$0 ,USD,,Crunchbase
Sam Rosen,CityStash Holdings,Angel,3/12/14,"$450,000 ",USD,,Crunchbase
"New Enterprise Associates, Alta Partners, Pappas Ventures, Adage Capital Management, RiverVest, RA Capital Management",Lumena Pharmaceuticals,B,3/11/14,"$45,000,000 ",USD,,Crunchbase
Global Founders Capital,Ulmon,Seed,3/11/14,"$5,000,000 ",USD,,Crunchbase
Entree Capital,flypay,Seed,3/11/14,"$1,000,000 ",GBP,,Crunchbase
Antarctica Capital,Lanier Parking Solutions,Unknown,3/11/14,$0 ,USD,,Crunchbase
FirstPrevious12345NextLast,,,,,,,
 Support© 2014 Mattermark Sources include Crunchbase & AngelList.About Careers Blog Terms& Privacy + Submit a Startup,,,,,,,
