mattermark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 All Companies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Getting Started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 VC Portfolios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Angel Portfolios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Accelerators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Funding Rounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 News Mentions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Saved Searches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Watch List,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Custom Lists,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Vertical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Co-Investors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Filters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Columns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Showing 1 to 50 of 214,768 entries",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Website,Mattermark Score (?),Weekly Momentum,Is Raising On AngelList,AngelList Raising Amount,AngelList Pre-Money Valuation,AngelList Raised Amount,Employee Count,Employees Month Ago,Employees Added This Month,Employees Month Over Month Growth,Est. Monthly Uniques,Est. Monthly Uniques Week Ago,Monthly Uniques Week Over Week Growth,Est. Monthly Uniques Month Ago,Monthly Uniques Month Over Month Growth,Est. Mobile Downloads,Est. Monthly Mobile Downloads Week Ago,Monthly Mobile Downloads Week Over Week Growth,Est. Monthly Mobile Downloads Month Ago,Monthly Mobile Downloads Month Over Month Growth,Mobile Growth Score,Est. Founding,Stage,Investors,Total Funding,Last Funding,Last Funding Amount,Location,City,Region,State,Country,Business Models,Industries,Keywords,Interested,Alert,Custom List,Has Mobile App
  Re/code,recode.net,3669,2389,No,,,,21,,,,"1,584,013","1,439,481",10%,"980,527",62%,,,,,,,,-,,Undisclosed,,Undisclosed,,,,,,,,,0,0,0,No
  Viral Nova,viralnova.com,3441,2368,No,,,,,,,,"12,697,311","12,787,331",-1%,"13,039,314",-3%,,,,,,,,-,,Undisclosed,,Undisclosed,Walnut,Walnut,,CA,United States,,Media,,0,0,0,No
  Distractify,distractify.com,3067,-484,No,,,,11,8,3,38%,"4,828,164","4,927,236",-2%,"5,620,566",-14%,,,,,,,,-,,Undisclosed,,Undisclosed,United States,,,,United States,"B2C,Advertising","Media,Advertising,Entertainment",,0,0,0,No
  39 Health,corp.39.net,2611,3292,No,,,,,,,,"19,423,697","18,769,339",3%,"14,863,091",31%,,,,,,,,A,IDG Capital Partners,$3.8M ,3/1/07,Undisclosed,,,,,,,,,0,0,0,No
  Teespring,teespring.com,2546,1364,No,,,,51,41,10,24%,"4,217,274","4,002,154",5%,"3,532,767",19%,,,,,,,11/11/11,A,"Y Combinator,Paul Buchheit,Fuel Capital,Andreessen Horowitz,FundersClub",$21.9M ,1/16/14,"$20,000,000 ",Boston,Providence,Boston,RI,United States,B2C,"Crowdfunding,E-Commerce",,0,0,0,No
  Upworthy,upworthy.com,2395,-359,No,,,,57,54,3,6%,"13,437,833","14,078,089",-5%,"15,745,028",-15%,,,,,,,3/26/12,A,"New Enterprise Associates,Alexis Ohanian,Chris Hughes,Spark Capital,Catamount Ventures,Knight Foundation,Klee Irwin",$12.0M ,9/16/13,"$8,000,000 ",New York,New York,,NY,United States,B2C,Media,,0,0,0,No
  CEX.IO,cex.io,2343,1091,No,,,,0,1,-1,-100%,"1,586,541","1,586,556",0%,"1,519,780",4%,,,,,,,,-,,Undisclosed,,Undisclosed,London,London,,,,,Finance,,0,0,0,No
  Flipagram,flipagram.com,2261,1901,No,,,,8,,,,"743,301","729,240",2%,"601,342",24%,,,,,,,5/1/12,-,,Undisclosed,,Undisclosed,Los Angeles,Los Angeles,,CA,,B2C,"Mobile,Social Networking",,0,0,0,No
  Elite Daily,EliteDaily.com,2201,213,No,,,,163,138,25,18%,"5,129,757","5,126,163",0%,"5,604,083",-8%,,,,,,,12/1/11,-,,Undisclosed,,Undisclosed,New York,New York,,NY,United States,B2C,Media,,0,0,0,No
  BuzzFeed,buzzfeed.com,2129,1214,No,,,,405,386,19,5%,"27,083,326","26,705,042",1%,"25,928,438",4%,"197,849","234,021",-15%,"163,253",21%,0,1/1/08,Late,"Hearst Ventures,SoftBank Capital,Ken Lerer,John Johnson,RRE Ventures,Founder Collective,Ron Conway,SV Angel,New Enterprise Associates,Lerer Ventures,Michael Lazerow,Kass Lazerow",$46.3M ,1/3/13,"$19,300,000 ",New York,New York,New York,NY,United States,"Advertising,B2C","Media,Publishing,Entertainment",,0,0,0,Yes
  QingCloud,qingcloud.com,2055,2362,No,,,,,,,,"214,145","207,543",3%,"115,857",85%,,,,,,,,B,"Lightspeed China Partners,Matrix Partners China",$20.0M ,1/1/14,"$20,000,000 ",China,,,,China,B2B,,,0,0,0,No
  CoinDesk,coindesk.com,2000,1109,No,,,,14,13,1,8%,"2,805,322","2,762,985",2%,"2,408,206",16%,,,,,,,5/1/13,-,,Undisclosed,,Undisclosed,London,London,,,United Kingdom,B2C,"Media,Finance",,0,0,0,No
  Woodtale Technology Inc,yac.mx,1994,3345,No,,,,,,,,"5,565,253","4,883,610",14%,"4,094,970",36%,,,,,,,9/9/13,-,,Undisclosed,,Undisclosed,Wilmington,Wilmington,,DE,United States,,Security,,0,0,0,No
  vidd.me,vidd.me,1950,2296,No,,,,,,,,"116,251","111,245",4%,"43,020",170%,,,,,,,,-,,Undisclosed,,Undisclosed,,,,,,,,,0,0,0,No
  Redbooth (formerly Teambox),redbooth.com,1901,2975,No,,,,,,,,"977,515","886,261",10%,"483,661",102%,"4,551","5,889",-23%,"2,206",106%,16,1/25/09,A,"Keiretsu Forum,SeedRocket,Albert Feliu,Data Collective,Avalon Ventures",$6.8M ,10/22/13,"$5,000,000 ",Redwood City,Redwood City,,CA,,,"Social Networking,Mobile",,0,0,0,Yes
  Coinbase,coinbase.com,1887,659,No,,,,27,24,3,13%,"3,076,570","3,068,269",0%,"2,951,101",4%,,"1,144",,"3,517",,0,6/1/12,B,"Smartex,Andreessen Horowitz,Union Square Ventures,Ribbit Capital,Alexis Ohanian,Y Combinator,Greg Kidd,Garry Tan,FundersClub,SV Angel,Red Swan,Interplay Ventures",$31.7M ,12/12/13,"$25,000,000 ",Bay Area,San Francisco,Bay Area,CA,United States,B2C,"Mobile,Finance",,0,0,0,Yes
  itch.io,itch.io,1846,2226,No,,,,,,,,"410,239","386,177",6%,"209,136",96%,,,,,,,,-,,Undisclosed,,Undisclosed,,,,,,,,,0,0,0,No
  Medium,medium.com,1836,179,No,,,,53,51,2,4%,"3,167,045","3,122,974",1%,"3,078,340",3%,,,,,,,8/14/12,A,"Greylock Partners,Google Ventures,Chris Sacca,Ron Conway,Peter Chernin,Tim O'Reilly,Michael Ovitz,Gary Vaynerchuk,betaworks,CODE Advisors,CAA Ventures,Science,Bryan Mason",$25.0M ,1/28/14,"$25,000,000 ",Bay Area,San Francisco,Bay Area,CA,United States,B2C,"Media,Publishing,Mobile",,0,0,0,No
  Torch,torchbrowser.com,1833,1167,No,,,,,,,,"3,938,402","3,773,238",4%,"3,483,208",13%,,,,,,,,-,,Undisclosed,,Undisclosed,New York,New York,,NY,United States,B2C,,,0,0,0,No
  JW Player,jwplayer.com,1777,671,No,,,,48,44,4,9%,"2,350,709","2,340,792",0%,"2,259,897",4%,,,,,,,8/1/07,Late,"Greycroft Partners,Cue Ball",$9.0M ,11/2/12,"$5,000,000 ",New York,New York,New York,NY,United States,"Advertising,B2C",Advertising,,0,0,0,No
  Product Hunt,producthunt.co,1741,1855,No,,,,,,,,"503,140","456,144",10%,"302,564",66%,,,,,,,,-,,Undisclosed,,Undisclosed,,,,,,,,,0,0,0,No
  SoundCloud,soundcloud.com,1741,526,No,,,,271,265,6,2%,"24,953,073","24,735,782",1%,"23,746,301",5%,"484,256","612,831",-21%,"641,752",-25%,7,1/1/07,Late,"Doughty Hanson Technology Ventures,Union Square Ventures,Index Ventures,Doughty Hanson & Co. Technology Ventures,Atlantic Ventures,The Chernin Group,Institutional Venture Partners,Kleiner Perkins Caufield & Byers,GGV Capital",$120.0M ,1/25/14,"$60,000,000 ",Berlin,Berlin,,,Germany,B2C,"Music,Entertainment,Media",,0,0,0,Yes
  Dogecoin,dogecoin.com,1739,1061,No,,,,,,,,"1,189,484","1,142,064",4%,"872,587",36%,,,,,,,,Pre Series A,,"$30,000 ",1/20/14,"$30,000 ",,,,,,,,,0,0,0,No
  Coc Coc,coccoc.com,1738,787,No,,,,22,19,3,16%,"15,611,246","15,031,979",4%,"13,407,067",16%,"1,927","1,273",51%,124,1454%,16,10/1/10,-,,Undisclosed,,Undisclosed,Hanoi,Hanoi,,,Viet Nam,B2C,Search,,0,0,0,Yes
  Piwik PRO,piwik.pro,1719,1566,No,,,,,,,,"201,658","157,575",28%,"67,771",198%,,,,,,,9/1/13,-,,Undisclosed,,Undisclosed,Wroclaw,Wroclaw,,,,B2B,"Cloud Computing,Analytics",,0,0,0,No
  Kraken,kraken.com,1719,-159,Yes,5000000,0,1130000,,,,,"736,444","750,606",-2%,"745,763",-1%,,,,,,,,-,,Undisclosed,,Undisclosed,Bay Area,San Francisco,Bay Area,CA,United States,,Finance,,0,0,0,No
  Business Insider,businessinsider.com,1714,491,No,,,,372,363,9,2%,"17,752,034","17,406,088",2%,"17,136,036",4%,"13,919","16,846",-17%,"17,532",-21%,-1,5/1/07,Late,"Allen Morgan,Marc Andreessen,RRE Ventures,Allen & Company,Kohlberg Ventures,Pilot Group,Institutional Venture Partners,Gordon Crovitz,Ken Lerer,Bezos Expeditions",$28.6M ,1/21/14,"$10,000,000 ",New York,New York,New York,NY,United States,B2C,"Media,Publishing",,0,0,0,Yes
  Grozery,grozery.com,1664,1694,No,,,,,,,,"222,243","205,856",8%,"94,499",135%,,,,,,,,-,,Undisclosed,,Undisclosed,Madurai,Madurai,,,,,"E-Commerce,Retail,Food & Beverages",,0,0,0,No
  MOBILE WORLD CAPITAL,mobileworldcapital.com,1658,1298,No,,,,,,,,"269,491","264,903",2%,"204,934",32%,,,,,,,,-,,Undisclosed,,Undisclosed,,,,,,,Mobile,,0,0,0,No
  TeslaThemes,teslathemes.com,1658,-833,No,,,,,,,,"734,153","737,756",0%,"791,180",-7%,,,,,,,5/15/13,-,,Undisclosed,,Undisclosed,Szczecin,Szczecin,,,Poland,"B2C,B2B",Publishing,,0,0,0,No
  Doctor on Demand,doctorondemand.com,1653,1626,No,,,,,,,,"53,835","48,417",11%,"26,954",100%,"69,617","98,955",-30%,"40,156",73%,6,,A,"Venrock,Google Ventures,Lerer Ventures,Shasta Ventures,Jonathan Bush,Andreessen Horowitz",$3.0M ,12/10/13,"$3,000,000 ",Bay Area,San Francisco,Bay Area,CA,United States,,Healthcare,,0,0,0,Yes
  Instagram,instagram.com,1646,982,No,,,,102,91,11,12%,"68,013,662","68,013,662",0%,"65,770,387",3%,"1,313,072","1,661,875",-21%,"2,024,447",-35%,0,3/1/10,Exited,"Andreessen Horowitz,Baseline Ventures,Adam D'Angelo,Jack Dorsey,Chris Sacca,Benchmark,Sequoia Capital,Thrive Capital,Greylock Partners",$57.5M ,4/5/12,"$50,000,000 ",Bay Area,San Francisco,Bay Area,CA,United States,B2C,"Social Networking,Mobile",,0,0,0,Yes
  Dot & Bo,dotandbo.com,1634,491,No,,,,33,29,4,14%,"752,480","739,701",2%,"662,198",14%,,,,,,,,Pre Series A,Trinity Ventures,Undisclosed,,Undisclosed,San Francisco,San Francisco,,,United States,B2C,E-Commerce,,0,0,0,No
  Hitbox,hitbox.tv,1633,2008,No,,,,,,,,"301,368","282,402",7%,"233,393",29%,,,,,,,9/1/13,-,,Undisclosed,,Undisclosed,,,,,,Advertising,"Gaming,Advertising",,0,0,0,No
  FDRMX,fdrmx.com,1623,1305,No,,,,,,,,"1,562,409","1,399,367",12%,"1,022,070",53%,,,,,,,10/23/13,-,,Undisclosed,,Undisclosed,Brooklyn,Brooklyn,,NY,,,,,0,0,0,No
