Rank,Name,Firm,Big Deal
1,"Jim Goetz","Sequoia Capital","WhatsApp"
2,"Marc Andreessen","Andreessen Horowitz","Twitter"
3,"Peter Fenton","Benchmark","Twitter"
4,"Peter Thiel","Founders Fund","Facebook"
5,"Jim Breyer","Accel Partners","Facebook"
6,"Douglas Leone","Sequoia Capital","ServiceNow"
7,"Reid Hoffman","Greylock Partners","Facebook"
8,"Steve Anderson","Baseline Ventures","Instagram"
9,"Paul Madera","Meritech Capital Partners","Facebook"
10,"Scott Sandell","New Enterprise Associates","Workday"
11,"Josh Kopelman","First Round Capital","LinkedIn"
12,"Chris Sacca","Lowercase Capital","Twitter"
13,"Michael Moritz","Sequoia Capital","LinkedIn"
14,"Mike Maples, Jr.","Floodgate","Twitter"
15,"Fred Wilson","Union Square Ventures","Twitter"
16,"David Sze","Greylock Partners","Facebook"
17,"Aneel Bhusri","Greylock Partners","Workday"
18,"Todd Chaffee","Institutional Venture Partners","Twitter"
19,"Jeremy Levine","Bessemer Venture Partners","Yelp Inc."
20,"Ben Horowitz","Andreessen Horowitz","Nicira Networks"
21,"Mary Meeker","Kleiner Perkins Caufield &amp; Byers","Waze Inc."
22,"Deven Parekh","Insight Venture Partners","Twitter"
23,"John Doerr","Kleiner Perkins Caufield &amp; Byers","Twitter"
24,"Rich Wong","Accel Partners","MoPub"
25,"Kevin Efrusy","Accel Partners","Facebook"
26,"Alfred Lin","Sequoia Capital","Airbnb"
27,"Promod Haque","Norwest Venture Partners","FireEye"
28,"Ben Nye","Bain Capital Ventures","LinkedIn"
29,"Roelof Botha","Sequoia Capital","Square"
30,"Navin Chaddha","Mayfield Fund","Qunar Cayman Islands"
31,"Rob Ward","Meritech Capital Partners","Tableau Software"
32,"Bijan Sabet","Spark Capital","Twitter"
33,"Neil Shen","Sequoia Capital China","Vipshop Holdings"
34,"Harry Weller","New Enterprise Associates","Groupon"
35,"Yuri Milner","Digital Sky Technologies","Twitter"
36,"Byron Deeter","Bessemer Venture Partners","Cornerstone OnDemand"
