AngelList Companies,AngelList VC,AngelList People,Blog Directory,Crunchbase Acquisitions,Crunchbase Companies,Crunchbase Investments,Crunchbase Rounds,Find The Best,Mattermark Companies,Mattermark Funding Rounds,Midas,NetworkWorld,Seed DB
Name,Name,Name,Name,company_permalink,permalink,company_permalink,company_permalink,Firm,Name,Investors,Rank,Company,State
Amount,About,Founder,Firm,company_name,name,company_name,company_name,Investment Stage,Website,Company Name,Name,City,Company Name
Founders,Portfolio,Team Member,Blog,company_category_code,homepage_url,company_category_code,company_category_code,Minimum Investment,Mattermark Score(?),Series,Firm,Industry,Website link
Past Investors,Founders,Investor,Link,company_country_code,category_code,company_country_code,company_country_code,Maximum Investment,Weekly Momentum,Date of Funding,Big Deal,Amount raised,Crunchbase link
Employees,Past Investors,Board Member,Average Monthly Uniques,company_state_code, funding_total_usd ,company_state_code,company_state_code,Location,Is Raising On AngelList,Amount,,Investors,Seed Accelerator
Advisors,Employees,About,,company_region,status,company_region,company_region,Country,AngelList Raising Amount,Currency,,Type of Financing,Exit Value
Board Members,Advisors,Markets Seeking,,company_city,country_code,company_city,company_city,Fund Size,AngelList Pre-Money Valuation,News,,Quarter,
Profile Claimed,Profile Claimed,Locations Seeking,,acquirer_permalink,state_code,investor_permalink,funding_round_type,Link,AngelList Raised Amount,Source,,What the co. does,Funding
Founder Links,Portfolio Links,Founder Links,,acquirer_name,region,investor_name,funded_at,,Employee Count,,,,Employees
Investor Links,Founder Links,Team Links,,acquirer_category_code,city,investor_category_code,funded_month,,Employees Month Ago,,,,Rounds
Employee Links,Investor Links,Investor Links,,acquirer_country_code,funding_rounds,investor_country_code,funded_quarter,,Employees Added This Month,,,,Country
Advisor Links,Employee Links,Board Links,,acquirer_state_code,founded_at,investor_state_code,funded_year,,Employees Month Over Month Growth,,,,-
Board Links,Advisor Links,,,acquirer_region, founded_month ,investor_region, raised_amount_usd ,,Est. Monthly Uniques,,,,
Funding History,,,,acquirer_city,founded_quarter,investor_city,,,Est. Monthly Uniques Week Ago,,,,
,,,,acquired_at,founded_year,funding_round_type,,,Monthly Uniques Week Over Week Growth,,,,
,,,,acquired_month,first_funding_at,funded_at,,,Est. Monthly Uniques Month Ago,,,,
,,,,acquired_quarter,last_funding_at,funded_month,,,Monthly Uniques Month Over Month Growth,,,,
,,,,acquired_year,last_milestone_at,funded_quarter,,,Est. Mobile Downloads,,,,
,,,, price_amount ,,funded_year,,,Est. Monthly Mobile Downloads Week Ago,,,,
,,,,price_currency_code,, raised_amount_usd ,,,Monthly Mobile Downloads Week Over Week Growth,,,,
,,,,,,,,,Est. Monthly Mobile Downloads Month Ago,,,,
,,,,,,,,,Monthly Mobile Downloads Month Over Month Growth,,,,
,,,,,,,,,Mobile Growth Score,,,,
,,,,,,,,,Est. Founding,,,,
,,,,,,,,,Stage,,,,
,,,,,,,,,Investors,,,,
,,,,,,,,,Total Funding,,,,
,,,,,,,,,Last Funding,,,,
,,,,,,,,,Last Funding Amount,,,,
,,,,,,,,,Location,,,,
,,,,,,,,,City,,,,
,,,,,,,,,Region,,,,
,,,,,,,,,State,,,,
,,,,,,,,,Country,,,,
,,,,,,,,,Business Models,,,,
,,,,,,,,,Industries,,,,
,,,,,,,,,Keywords,,,,
,,,,,,,,,Interested,,,,
,,,,,,,,,Alert,,,,
,,,,,,,,,Custom List,,,,
,,,,,,,,,Has Mobile App,,,,
