AngelList Companies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Amount,Founders,Past Investors,Employees,Advisors,Board Members,Profile Claimed,Founder Links,Investor Links,Employee Links,Advisor Links,Board Links,Funding History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evernote,"Our goal at Evernote is to help the world remember everything, communicate effectively and get things done. From saving thoughts and ideas to preserving experiences to working efficiently with others, Evernote‰Ûªs collection of apps make it easy to stay organized and productive.",,"Dave Morin,Jason Calacanis,Roelof Botha,Kevin Colleran,Sky Dayton,Tim Lee,Rebecca Lynn,Jim Barnett,Esther Dyson,Ken Gullicksen,Craig Sherman,Nick Adams,Itamar Novick,Paul Hsiao,Kyle Doherty,Joe Neale,Daisuke Minamide,Jerry Michalski,Masai Ishikawa,Sequoia Capital,Fay Rotenberg,m8 Capital,Michael Lythcott,DOCOMO Capital,cbc-us,Dmitry Stavisky,Hiromitsu Sakai,Oleg Kurchin,Arkadi Popov","Ken Gullicksen,Felipe Baytelman,Connie Chan,Tye Tolentino,Alex Pachikov,Miki Setlur,Dmitry Stavisky,Shirley,Rafe Needleman,Seth Hitchings,Curtis Kline,Karolyn Abram Dector,Zhibai Han,Pavlina Zabalaga",Tim Ferriss,"Max Levchin,Roelof Botha,Esther Dyson",No,,"https://angel.co/davemorin,https://angel.co/jason,https://angel.co/roelofbotha,https://angel.co/kevincolleran,https://angel.co/sky-dayton,https://angel.co/tim-lee,https://angel.co/rebecca-lynn,https://angel.co/jimbarnett,https://angel.co/esther-dyson,https://angel.co/kgullicksen,https://angel.co/craig-sherman1,https://angel.co/nick-adams,https://angel.co/itamar-novick,https://angel.co/paulhsiao,https://angel.co/kydoh,https://angel.co/joem8,https://angel.co/daisuke-minamide,https://angel.co/jerrymichalski,https://angel.co/masai-ishikawa,https://angel.co/sequoia-capital,https://angel.co/fyietc,https://angel.co/m8-capital,https://angel.co/michael-lythcott,https://angel.co/docomo-capital,https://angel.co/cbc-us,https://angel.co/dmitry-stavisky,https://angel.co/hiromitsu-sakai,https://angel.co/olegkurchin,https://angel.co/arkadi-popov","https://angel.co/kgullicksen,https://angel.co/felipe-baytelman,https://angel.co/conch,https://angel.co/tye-tolentino,https://angel.co/alex-pachikov,https://angel.co/miki-setlur,https://angel.co/dmitry-stavisky,https://angel.co/shirliu,https://angel.co/rafe-needleman,https://angel.co/seth-hitchings-1,https://angel.co/curtiskline,https://angel.co/karolyn-abram-dector,https://angel.co/zhibaihan,https://angel.co/pavlina-zabalaga",https://angel.co/tim,"https://angel.co/mlevchin,https://angel.co/roelofbotha,https://angel.co/esther-dyson","Stage,Date,Amount,Press,Investors,Investor Links
'Series D','Jul 13, 2011','$50,000,000','http://techcrunch.com/2011/07/13/evernote-takes-50-million-to-become-the-anti-zynga/','Sequoia Capital,Morgenthaler Ventures','https://angel.co/sequoia-capital,https://angel.co/morgenthaler-ventures'
'Series C','Oct 19, 2010','$20,000,000','http://techcrunch.com/2010/10/19/evernote-funding/','Sequoia Capital','https://angel.co/sequoia-capital'
'Series B','Nov 15, 2009','$10,000,000','http://venturebeat.com/2009/11/15/evernote-the-startup-that-boosts-your-memory-raises-10-million/','Morgenthaler Ventures','https://angel.co/morgenthaler-ventures'
'Series A','Sep 9, 2009','$6,500,000','http://digital.venturebeat.com/2009/09/09/evernote-raises-2-million-so-it-can-augment-your-memory/','',''
'Seed','Sep 1, 2007','$3,000,000','http://www.techcrunch.com/2008/02/21/extend-your-brain-with-evernote-private-beta-invites/','',''
'Seed','Mar 1, 2006','$6,000,000','http://www.techcrunch.com/2008/02/21/extend-your-brain-with-evernote-private-beta-invites/','',''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HybridCluster,"HybridLogic lets web hosts and users of cloud infrastructure set up high-availability hosting across multiple data centers, live-migrate between them, auto-scale LAMP apps up to dedicated machines, and provides an &#x27;undo&#x27; button for accidental or malicious changes to files, databases and mailboxes.
It&#x27;s like CPanel/Plesk 2.0, aimed squarely at the hosting industry, and is seriously disrupting the way people do hosting.
Watch the video to the end to see the mother of all demos!","Luke Marsden,Rob Haswell,Mike Smithson","Jason Seats,Anil Hansjee,Richard Muirhead,Toivo Annus,Clint Watson,Chris Mairs,Simon Murdoch,Thomas Jones,Bo Pedersen,Anton Wellenreiter,Ben Kepes,David Embleton,Julian Carter,Adrian Lloyd,Damien Lane,Charles Grimsdale,Steven Algieri,Robert Paul,Firestartr,John Lazar,Eric Barton","Jean-Paul Calderone,David Benton","Jason Seats,Anil Hansjee,Ben Kepes,Charles Grimsdale,Steven Algieri,Anne Johnson,Martynas Nikolajevas,Russ Ferriday",David May,Yes,"https://angel.co/lmarsden,https://angel.co/rob-haswell,https://angel.co/mike-smithson","https://angel.co/jason-seats,https://angel.co/anil-hansjee,https://angel.co/richardmuirhead,https://angel.co/toivo,https://angel.co/clint-watson,https://angel.co/chris-mairs,https://angel.co/simonmurdoch,https://angel.co/tjamesjones,https://angel.co/bo-pedersen,https://angel.co/anton-wellenreiter,https://angel.co/benkepes,https://angel.co/david-embleton,https://angel.co/julian-carter,https://angel.co/adrian-lloyd,https://angel.co/damien-lane,https://angel.co/charles-grimsdale,https://angel.co/steve-algieri,https://angel.co/robert-paul,https://angel.co/firestartr,https://angel.co/john-lazar,https://angel.co/eric-barton","https://angel.co/jean-paul-calderone,https://angel.co/david-benton","https://angel.co/jason-seats,https://angel.co/anil-hansjee,https://angel.co/benkepes,https://angel.co/charles-grimsdale,https://angel.co/steve-algieri,https://angel.co/annejohn,https://angel.co/martynasn,https://angel.co/russ-ferriday",https://angel.co/david-may,"Stage,Date,Amount,Press,Investors,Investor Links
'Seed','May 6, 2013','$1,000,000','http://www.finsmes.com/2013/05/hybridcluster-raises-1m-funding.html','Jason Seats,Anil Hansjee,Toivo Annus,Charles Grimsdale','https://angel.co/jason-seats,https://angel.co/anil-hansjee,https://angel.co/toivo,https://angel.co/charles-grimsdale'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eSellerPro,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PICT,"Photos &amp; Commerce, united at last.","Brent Locks,Kele Dobrinski","Scott Belsky,Chris Sacca,Gary Vaynerchuk,Kirsten Green,Josh Spear,Thomas Korte,Dave McClure,Seth Berman,Eva Ho,Carine Magescas,Bob Borchers,Aaron Dignan,steven alan,AngelPad","Giv Parvaneh,Alexandra Fisher,Steve Sewell,Ali Reza Sharafat,Caleb Amsden,James Dunay",,,Yes,"https://angel.co/bdlocks,https://angel.co/dkele","https://angel.co/scottbelsky,https://angel.co/sacca,https://angel.co/gary,https://angel.co/kirsten-green,https://angel.co/joshspear,https://angel.co/thomask,https://angel.co/davemcclure,https://angel.co/seth-berman,https://angel.co/eva-ho,https://angel.co/carine,https://angel.co/bob-borchers,https://angel.co/aarondignan,https://angel.co/steven-alan,https://angel.co/angelpad","https://angel.co/givp,https://angel.co/alexandra-fisher,https://angel.co/steve8708,https://angel.co/ali-reza-sharafat,https://angel.co/caleb-amsden,https://angel.co/james-dunay",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flash Networks,,,,"Lior Sion,Moshe Bartov,Nir Buschi",,,No,,,"https://angel.co/lior-sion,https://angel.co/moshe-bartov,https://angel.co/nir-buschi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AngelList Companies (human readable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Amount,Founders,Past Investors,Employees,Advisors,Board Members,Profile Claimed,Founder Links,Investor Links,Employee Links,Advisor Links,Board Links,Funding History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evernote,"Our goal at Evernote is to help the world remember everything, communicate effectively and get things done. From saving thoughts and ideas to preserving experiences to working efficiently with others, Evernote‰Ûªs collection of apps make it easy to stay organized and productive.",,"Dave Morin,Jason Calacanis,Roelof Botha,Kevin Colleran,Sky Dayton,Tim Lee,Rebecca Lynn,Jim Barnett,Esther Dyson,Ken Gullicksen,Craig Sherman,Nick Adams,Itamar Novick,Paul Hsiao,Kyle Doherty,Joe Neale,Daisuke Minamide,Jerry Michalski,Masai Ishikawa,Sequoia Capital,Fay Rotenberg,m8 Capital,Michael Lythcott,DOCOMO Capital,cbc-us,Dmitry Stavisky,Hiromitsu Sakai,Oleg Kurchin,Arkadi Popov","Ken Gullicksen,Felipe Baytelman,Connie Chan,Tye Tolentino,Alex Pachikov,Miki Setlur,Dmitry Stavisky,Shirley,Rafe Needleman,Seth Hitchings,Curtis Kline,Karolyn Abram Dector,Zhibai Han,Pavlina Zabalaga",Tim Ferriss,"Max Levchin,Roelof Botha,Esther Dyson",No,,"https://angel.co/davemorin,https://angel.co/jason,https://angel.co/roelofbotha,https://angel.co/kevincolleran,https://angel.co/sky-dayton,https://angel.co/tim-lee,https://angel.co/rebecca-lynn,https://angel.co/jimbarnett,https://angel.co/esther-dyson,https://angel.co/kgullicksen,https://angel.co/craig-sherman1,https://angel.co/nick-adams,https://angel.co/itamar-novick,https://angel.co/paulhsiao,https://angel.co/kydoh,https://angel.co/joem8,https://angel.co/daisuke-minamide,https://angel.co/jerrymichalski,https://angel.co/masai-ishikawa,https://angel.co/sequoia-capital,https://angel.co/fyietc,https://angel.co/m8-capital,https://angel.co/michael-lythcott,https://angel.co/docomo-capital,https://angel.co/cbc-us,https://angel.co/dmitry-stavisky,https://angel.co/hiromitsu-sakai,https://angel.co/olegkurchin,https://angel.co/arkadi-popov","https://angel.co/kgullicksen,https://angel.co/felipe-baytelman,https://angel.co/conch,https://angel.co/tye-tolentino,https://angel.co/alex-pachikov,https://angel.co/miki-setlur,https://angel.co/dmitry-stavisky,https://angel.co/shirliu,https://angel.co/rafe-needleman,https://angel.co/seth-hitchings-1,https://angel.co/curtiskline,https://angel.co/karolyn-abram-dector,https://angel.co/zhibaihan,https://angel.co/pavlina-zabalaga",https://angel.co/tim,"https://angel.co/mlevchin,https://angel.co/roelofbotha,https://angel.co/esther-dyson",Stage,Date,Amount,Press,Investors,Investor Links,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
