Name,Markets Seeking,Locations Seeking
Jassim Latif,"Android,Consumer Internet,Drones,Mobile,Mobile Commerce,Mobile Payments,iOS",San Francisco
Jessica Jackley,"Babies,Collaborative Consumption,Consumer Internet,Crowdfunding,Enterprise Software,Finance,Financial Services,Local Businesses,Marketplaces,Micro-Enterprises,Mothers,Shared Services,Small and Medium Businesses,Startups,Women-Focused","Los Angeles,New York City,Pittsburgh,San Francisco,Silicon Valley"
Dan Scholnick,"B2B,Big Data,Business Services,Cloud Computing,Cloud Data Services,Cloud Management,Consumer Internet,Digital Media,Enterprise Software,SaaS,Video","Boston,Los Angeles,Raleigh,San Francisco,Seattle,Silicon Valley"
Roland Manger,,
D. Akinfenwa,,Houston
Obinna Onungwa,,"New York City,Washington DC"
Justin Caldbeck,"Consumer Internet,Enterprise Software,Mobile","Los Angeles,Massachusetts,New York,Silicon Valley"
Nikhil Kalghatgi,"Consumer Internet,Consumers,Design,Digital Media,E-Commerce,Entertainment,Fashion,Games,Media,Mobile,Mobile Health,Retail,Retail Technology,Social Media,Startups,Technology","New York City,San Francisco"
Frederik Roever,,
Vijay Nagappan,"Advertising Platforms,Analytics,B2B,Business Intelligence,CRM,Consumer Internet,Digital Media,E-Commerce,Education,Enterprise Software,Food and Beverages,Health Care,Health Care Information Technology,Human Resources,Marketplaces,Messaging,Mobile,Mobile Health,Parenting,Recruiting,SaaS,Sales and Marketing,Technical Continuing Education","Europe,Los Angeles,New York,Philadelphia,San Francisco,Seattle,Silicon Valley,Washington DC"
Paul Vidich,Digital Media,"New York City,United States"
Yacine Ghalim,"Consumer Internet,E-Commerce,Enterprise Software,Financial Services,Games,Marketplaces,Mobile,SaaS",Europe
Sultan Murad Saidov,,
Hiro Maeda,"All Markets,Clean Technology,Consumer Internet,Enterprise Software,Life Sciences,Mobile","Chicago,Earth,Europe,Japan,Los Angeles,Massachusetts,New York,North America,Silicon Valley,Tokyo"
Chris Herndon,"Algorithms,Consumer Goods,Consumer Internet,Enterprise Software,Health Care,Marketplaces,Mobile,Online Rental,Real Estate,Rental Housing,Social Media Platforms,Sports,Web Design,Web Development","San Francisco,United States"
Sunil Nagaraj,"Analytics,Augmented Reality,Big Data,Business Analytics,Cloud Data Services,Consumer Internet,Content Discovery,Data Mining,Digital Media,Machine Learning,Marketplaces,Mobile,Mobile Games,Predictive Analytics,SaaS,Security,Social Commerce,Social Fundraising,Social Media","Atlanta,Massachusetts,New York,Palo Alto,Raleigh,Seattle,Silicon Valley"
Kevin Weeks,"Consumer Internet,Digital Media,E-Commerce,Local,Mobile,Mobile Commerce,Social Commerce","California,East Coast,New York,New York City"
Warren Jason,"Consumer Internet,Food and Beverages,Hardware,Restaurants,Robotics,Social Media,Telecommunications",Los Angeles
Francois Drouin,"Clean Technology,Consumer Internet,Enterprise Software,Health Care,Mobile",
Erik Blachford,"Clean Technology,Consumer Internet,Mobile,Online Travel","Canada,San Francisco,Seattle"
Santiago Fossatti,"Consumer Internet,Enterprise Software,Health Care,Mobile","Brazil,Colombia,Latin America,Mexico"
Matthew Estes,"Consumer Internet,E-Commerce,Games,Media,Mobile",
Mike Silverstein,,San Francisco
Adam D. Smith,"Advertising,Consumer Internet,Enterprise Software,Enterprises,Local,Mobile,SaaS","New York City,San Francisco,Silicon Valley"
Rob Biederman,"Clean Technology,Consumer Internet,Enterprise Software,Health Care,Mobile",
Katy Turner,,London
Dan Lupu,,
Nick Baum,"Bridging Online and Offline,Consumer Electronics,Consumer Internet,Email,Enterprise Software,Hardware,Health Care,Health Care Information Technology,Information Technology,Maps,Messaging,Mobile,Mobile Health,Mobile Payments,Parenting,Restaurants,Search,Security,Venture Capital","San Francisco,Silicon Valley"
Nick Taranto,"Digital Media,E-Commerce,E-Commerce Platforms,Social Commerce","New York,New York City,United States"
John Curreri,"Clean Technology,Consumer Internet,Enterprise Software,Mobile","Oklahoma,Texas"
Nicola Korzenko,"Analytics,B2B,Consumer Internet,Digital Media,E-Commerce,Enterprise Software,Hardware,Marketplaces,Mobile,SaaS,Sales and Marketing,Social Media","New York City,San Francisco,Silicon Valley"
Jaclyn Grimshaw,,"Boston,Toronto"
Steve Vassallo,"Clean Technology,Consumer Internet,Enterprise Software,Health Care,Mobile","Boston,California,New York City,Pennsylvania,United States,Utah"
Kelvin Lim,,
Bernard Dalle,"Accounting,Enterprise Software,Legal,Professional Services,Retail","Europe,London"
Christoph Rieche,,
Jon Auerbach,"Ad Targeting,Advertising,Advertising Networks,Advertising Platforms,Mobile,Mobile Advertising,Mobile Commerce,Mobile Coupons,Mobile Games,Online Video Advertising",Boston
Lem Diaz,,
Chris Varma,"Bioinformatics,Biotechnology,Clean Technology,Cloud Computing,Consumer Internet,Diagnostics,Enterprise Software,Health Care,Medical Devices,Mobile,Nanotechnology","Boston,Cambridge MA,Las Vegas,Los Angeles,New York City,San Diego,San Francisco,Silicon Valley,South San Francisco"
KPCB,"Clean Technology,Consumer Internet,Enterprise Software,Health Care,Mobile",
Tim Draper,"Big Data,Bridging Online and Offline,Consumer Internet,Digital Media,E-Commerce,Email,Enterprise Software,Financial Services,Local,Marketplaces,Mobile,Mobile Commerce,Online Travel,Payments,Personal Finance,Productivity Software,Professional Networking,Quantified Self,Recruiting,Reviews and Recommendations,Small and Medium Businesses,Social Commerce,Social Recruiting,Travel,Venture Capital","Austin,Bangalore,Beijing,Chicago,Dubai,London,Los Angeles,New York,Pittsburgh,Seattle,Seoul,Shanghai,Silicon Valley,Singapore,Tokyo"
Martha Blue,"Clean Technology,Consumer Internet,E-Commerce,Enterprise Software,Finance,Funeral Industry,Mobile,SaaS",Washington
John Kobs,"Algorithms,Analytics,B2B,Big Data,Consumer Internet,Enterprise Software,Financial Services,Investment Management,Marketplaces,Mobile,Online Rental,Real Estate,Rental Housing,SaaS,Search,Social Media Platforms,Sports,Visualization","Los Angeles,New York,San Francisco,Silicon Valley"
Dan Mindus,"Analytics,Android,Automotive,Bridging Online and Offline,Business Productivity,Collaborative Consumption,Communities,E-Commerce,Facebook Applications,Families,Location Based Services,Marketplaces,Mobile,Mobile Commerce,Mobile Payments,SaaS,Small and Medium Businesses,Social Commerce,Social Games,Social Media,Social Media Marketing,Sports,Telecommunications,Video,iOS","Virginia,Washington DC"
Valentin Fage,,"London,New York City,Paris,Paris TX,San Francisco,Shanghai,Tel Aviv-yafo"
Phil Haake,"Clean Technology,Consumer Internet,Enterprise Software,Health Care,Mobile",
sophia chiang,,
Daniel Waterhouse,"Analytics,B2B,Big Data,Business Intelligence,Cloud Computing,Consumer Internet,Digital Media,E-Commerce,Education,Enterprise Software,Finance Technology,Financial Services,Local,Local Advertising,Location Based Services,Marketplaces,Mobile,Optimization,SaaS,Social Commerce,Social Media,Software","Berlin,Copenhagen,Europe,Helsinki,London,Munich,New York,New York City,Stockholm"
Avi Naider,"Clean Technology,Consumer Internet,Enterprise Software,Mobile",Florida
Dominik Muehl,"Advertising,Consumer Internet,Enterprise Software,Finance Technology,Mobile","Europe,Germany"
Ayush Agarwal,"Consumer Internet,Education,Mobile","San Francisco,Seattle,Silicon Valley"
Balu Chandrasekaran,,"New York City,Philadelphia,San Francisco"
Chris Muir,,
Adam Ludwin,"Advertising,Consumer Internet,Financial Services,Information Technology,Media,Publishing",New York City
Aaron Ford,"Clean Technology,Consumer Internet,Enterprise Software,Health Care,Mobile","Palo Alto,San Francisco"
Deepak Jagannathan,,
Dana Settle,"Consumer Internet,Content,Digital Media,E-Commerce,Mobile,Mobile Advertising,Mobile Commerce,Mobile Games,SaaS",Los Angeles
John Lee,"3D Printing,Clean Technology,Consumer Internet,Enterprise Software,Health Care,Mobile,Robotics,Space Travel",United States
Jon Edward Santillan,"Advertising,Analytics,Big Data,Cloud Computing,Collaborative Consumption,Consumer Internet,Content Discovery,Digital Media,E-Commerce,Games,Internet,Local Advertising,Local Based Services,Location Based Services,Machine Learning,Marketplaces,Mobile Commerce,Private Social Networking,SEO,SaaS,Small and Medium Businesses,Social Commerce,Social Games,Social Media,Video","Abu Dhabi,Australia,Dubai,Manila,Philippines,Silicon Valley,Singapore,Southern California,Spain,United Arab Emirates,United Kingdom"
Connie Chan,"Audiobooks,Consumer Electronics,Consumer Internet,Digital Media,Hardware,Mobile,News,Security,Venture Capital","Los Angeles,Menlo Park,New York,Silicon Valley"
Brent Tworetzky,,
Anand Kishore,"Consumer Internet,Enterprise Software,Health Care,Health Care Information Technology,Mobile","Brazil,New York City,San Francisco"
John Brennan,,
"Wen Hsieh, Ph.D.",,
Topher Conway,"Consumer Internet,Mobile,Social Media","New York,San Francisco,Silicon Valley"
David Sze,"Consumer Internet,Mobile","Menlo Park,San Mateo,Silicon Valley"
Richard Ling,,
Gus Higuera,Content Discovery,
Saar Gur,"Automotive,Bitcoin,Bridging Online and Offline,Chat,Communities,Consumers,Deep Information Technology,Design,Education,Finance,Information Technology,Marketplaces,Media,Mobile,Mobile Health,Mobile Payments,Payments,Personal Health,Platforms,Productivity Software,Real Estate,Retail,Reviews and Recommendations,SaaS,Small and Medium Businesses,Social Media,Travel","North America,Palo Alto,Romania,Silicon Valley"
Alexa Fischer,"Clean Technology,Consumer Internet,Enterprise Software,Health Care,Mobile","California,United States"
Bruce Sachs,"Advanced Materials,Cloud Computing,Cloud Infrastructure,Enterprises,Hardware,Infrastructure,Internet Infrastructure,Mobile,Security,Semiconductors,Storage,Telecommunications,Video,Wireless","Boston,Silicon Valley"
Tamin Pechet,,
Abakar Saidov,,London
Samir Kaji,"All Markets,Consumer Internet,Enterprise Software,Mobile","Los Angeles,Menlo Park,New York,Silicon Valley"
CiarÃ¡n O'Leary,"Cloud Computing,Cloud Infrastructure,Collaboration,Communities,Consumer Internet,Creative Industries,Deep Information Technology,Digital Media,E-Commerce,Enterprise Software,File Sharing,Messaging,Mobile Commerce,Mobile Payments,PaaS,Platforms,Productivity Software,Social Media,Social Recruiting,Technology,Video Streaming","Berlin,Europe"
Janis Machala,"Advertising,Cloud Infrastructure,Consumer Internet,Digital Media,Enterprise Software,Internet,Internet Infrastructure,Mobile",
Melanie Dyer,,
Thomas Urban,,
Ayush Agarwal,,"San Francisco,Silicon Valley"
Nic Brisbourne,"E-Commerce,Enterprise Software","London,United Kingdom"
John Greathouse,"Advertising,SaaS,Sales and Marketing","Los Angeles,Santa Barbara"
Robert Goldberg,"Clean Technology,Consumer Internet,Enterprise Software,Health Care,Mobile",
William Sacks,"Consumer Goods,Consumer Internet,Corporate Wellness,Energy Efficiency,Fitness,Health Care,Health Care Information Technology,Health and Insurance,Health and Wellness,Innovation Engineering,Innovation Management,Medical Devices,Mobile,Mobile Health,Personal Health,Quantified Self,SaaS,Social Games,Social Innovation,Sustainability","Boston,Boulder,France,Massachusetts,Menlo Park,New York,New York City,Palo Alto,San Francisco,Silicon Valley,Southern California,Toronto,United Kingdom,Virginia,Washington"
Joshua Seims,"Advice,Bitcoin,Bridging Online and Offline,Collaboration,Collaborative Consumption,Communities,Consumer Internet,Content Discovery,Crowdsourcing,Deep Information Technology,Development Platforms,E-Commerce,Education,Families,Food and Beverages,Machine Learning,Marketplaces,Mobile,Payments,Personal Health,Personalization,Social Media,Video,Video Chat,Web Design",San Francisco
Amish Shah,"Big Data,Clean Technology,Cloud Computing,Consumer Internet,Cyber Security,Data Mining,Data Security,E-Commerce,Enterprise Software,Homeland Security,IT and Cybersecurity,Mobile,Mobile Advertising,Mobile Commerce,Mobile Coupons,Mobile Games,Mobile Payments,Mobile Search,Mobile Security,Security,Social Commerce,Social Games,Social Media,Social Media Marketing,Social Media Platforms","Atlanta,Boston,Charlotte,Los Angeles,New Jersey,New York,New York City,North Carolina,San Francisco,Silicon Valley,South Carolina,South East US"
Guy King,"Analytics,Angels,Apps,B2B,Big Data,Clean Technology,Consumer Electronics,Consumer Internet,Developer Tools,Digital Media,Disruptive Models,E-Commerce,Energy,Enterprise Software,Hardware,Incubators,Machine Learning,Mobile,Retail Technology,SaaS,Sales and Marketing,Security,South East Asia,Supply Chain Management,iOS","Australia,Melbourne"
Abhay Parekh,"Automotive,Bioinformatics,Cloud Management,Cloud Security,College Recruiting,Content Discovery,Data Security,E-Commerce,Education,Machine Learning,Marketplaces,Mobile,Mobile Games,Mobile Security,Personalization,Social Games,Synthetic Biology,Video,Video Games","San Francisco,Silicon Valley"
Kallan Resnick,,"Asia,Beijing,China,Hong Kong,Japan,Korea,Seoul,Shanghai,Singapore,Taiwan,Tokyo"
Ned Renzi,"Consumer Internet,Enterprise Software,Mobile","Pittsburgh,Silicon Valley"
Mariano Kostelec,"Consumer Internet,E-Commerce,Mobile Payments,Payments","Argentina,Chile,Europe,London,South America"
David Back,,Bangalore
Christian Sutardi,,Jakarta
Jeff Lu,"Consumer Internet,Enterprise Software,Marketplaces,Mobile",San Francisco
Boris Silver,"Clean Technology,Consumer Internet,Enterprise Software,Health Care,Mobile",San Francisco
Swati Bhargava,,"London,New Delhi"
Jim Linder,"Consumer Internet,Enterprise Software,Health Care,Health Care Information Technology,Mobile,Mobile Games","California,Midwestern States,Nebraska"
Jorge M. Torres,"Automotive,B2B,Big Data,Big Data Analytics,Bridging Online and Offline,Consumer Electronics,Consumer Goods,Consumer Internet,E-Commerce,Enterprise Software,Fashion,Food and Beverages,Health Care Information Technology,Health and Wellness,Healthcare Services,Hospitals,Legal,Machine Learning,Marketplaces,Music,Retail,Retail Technology,SaaS,Small and Medium Businesses,Social Commerce","Earth,New York City"
Eurie Kim,"Consumer Internet,E-Commerce,Enterprise Software,Mobile,Retail,Retail Technology","Los Angeles,New York City,San Francisco"
Jay Vaidya,,
Neil Vogel,"Consumer Internet,Digital Media,Direct Marketing,E-Commerce,Sales and Marketing",New York City
Ryan Hemingway,"Consumer Internet,E-Commerce,Enterprise Software,Fashion,Mass Customization,Mobile,Retail","Chicago,Los Angeles,Massachusetts,New York,North America,Silicon Valley"
Jamal Motlagh,"3D,3D Technology,Consumer Goods,E-Commerce,E-Commerce Platforms,Fashion,Retail,Textiles","Boston,Milan,New York City,San Francisco"
Pablo Perez,"Analytics,Big Data,Big Data Analytics,Crowdsourcing,Freemium,SaaS","New York City,San Francisco,Silicon Valley"
Zachary Bogue,"Big Data,Clean Technology,Green","San Francisco,Silicon Valley"
Jim Rutter,,
Idris Mokhtarzada,"Consumer Internet,Mobile,NFC,SaaS,Social Commerce,Social Media","Silver Spring,Washington DC"
Tony Elliott,"Online Reservations,Restaurants","Atlanta,Georgia,New York City"
Aloke Guha,,
Gil Canaani,"Consumer Internet,Cyber Security,Digital Media,E-Commerce,Enterprise Software,Internet,Mobile,SaaS,Social Commerce",Israel
Rafi Syed,"Consumer Internet,E-Commerce,Enterprise Software,Mobile,Retail Technology","Europe,New York City,San Francisco,United States"
Nabeel Hyatt,"Analytics,Consumer Electronics,Consumer Internet,Freemium,Hardware,Mobile,Mobile Commerce,Photo Sharing,Social Games,Virtual Goods","Boston,New York,San Francisco,Silicon Valley"
Randy Meech,"Consumer Internet,Mobile","Massachusetts,New York City,San Francisco,Southern California,Tel Aviv-yafo,Texas,United Kingdom"
CeCe Cheng,,"New York,Philadelphia,San Francisco"
Darcy Pollack,,
Bharat Bhate,,
Kevin Leland,,
Jim Breyer,"Art,Chat,Computers,Consumer Electronics,Consumer Internet,Digital Media,E-Commerce,Enterprise Software,Handmade,Internet TV,Marketplaces,Messaging,Mobile,Social Media,Startups,Video","China,Europe,Los Angeles,New York,Silicon Valley"
Seann Birkelund,"Clean Technology,Consumer Internet,Enterprise Software,Health Care,Mobile","Austin,Denver,Los Angeles,New York City,San Diego,San Francisco,Seattle,Silicon Valley"
John Jarve,,
Ricard SÃ¶derberg,"Clean Technology,Consumer Internet,Enterprise Software,Health Care,Mobile","Barcelona,Europe,Germany,Spain,Sweden"
Zachary Hamed,,New York City
Aislinn Mahon,,
Deep Singh,"Clean Technology,Consumer Internet,Enterprise Software,Health Care,Mobile","Asia,Europe,Singapore,United States"
Benjamin Libor,"Biotechnology,Clean Energy,Consumer Internet,E-Commerce,Energy Efficiency,Health Care,Mobile","Berlin,Europe,Germany,United States"
James Newell,,
Matt Robinson,"Clean Technology,Consumer Internet,Enterprise Software,Health Care,Mobile","New York City,Palo Alto"
Anne-Aymone Ferreira,,
Alexey Liku_µv,"Advertising,Analytics,Big Data,Consumer Internet,E-Commerce,Enterprise Software,Finance Technology,Kids,Mobile,iPad","Moscow,Russia,Ukraine"
Christopher Altchek,,
Fred Ehrsam,,"New York City,San Francisco"
Etan Ilfeld,"Clean Technology,Consumer Internet,Data Visualization,Enterprise Software,Health Care,Information Technology,Mobile","London,Los Angeles,Palo Alto,Tel Aviv-yafo"
Philippe Guelton,"Analytics,B2B,Beauty,Bridging Online and Offline,Communities,Consumer Goods,Consumer Internet,Cosmetics,Digital Media,E-Commerce,Health and Wellness,Mobile,Mobile Enterprise,SaaS,Social Commerce,Social Media","New York,New York City"
Ziad Sultan,,
Blair Garrou,"Consumer Internet,Enterprise Software","Ann Arbor,Austin,Boulder,Chicago,Cincinnati,Cleveland,Denver,Detroit,Houston,Madison,Omaha,San Antonio,St. Louis,Texas"
Christopher Wu,"Consumer Internet,E-Commerce,Internet,Mobile,Mobile Commerce,Mobile Payments,Printing","Burlingame,Hillsborough,Mountain View,Palo Alto,San Francisco,San Jose,San Mateo,Silicon Valley,Sunnyvale"
Geoffrey Handley,"Advertising,Big Data,Clean Technology,Consumer Internet,Crowdsourcing,Education,Location Based Services,Marketplaces,Mobile,Mobile Commerce,Mobile Payments,Social Commerce","Asia,Australia,Earth,Hong Kong,New York,New York City,New Zealand,North America,Shanghai"
Joshua Hernandez,,
Mike Buckley,"Advertising,Advertising Platforms,Biotechnology,Consumer Internet,Cooking,Data Mining,Digital Media,E-Books,E-Commerce,Food and Beverages,Information Technology,K-12 Education,Loyalty Programs,Mobile,Mobile Search,Online Dating,Photography,Search,Semantic Search,Social Commerce,Social Media,Social Media Platforms,Synthetic Biology,Textbooks,University Students","Los Angeles,New York,Portland,Seattle,Silicon Valley"
Galia Benartzi,,"Israel,Palo Alto"
Rahul Prakash,"Analytics,Big Data,Consumer Internet,Energy Management,Enterprise Software,Mobile,Platforms,SaaS","Austin,Boston,Boulder,Los Angeles,New York,New York City,Philadelphia,San Francisco,Silicon Valley"
Tucker Carlson III,,San Francisco
Doug Ludlow,,
Bryan Stolle,"Consumer Internet,Enterprise Software,Fashion,Mens Specific,Mobile,Specialty Retail,Subscription Businesses","Atlanta,Austin,Boulder,Los Angeles,Silicon Valley"
Imran Akram,"Consumer Internet,Enterprise Software,Health Care,Mobile","Europe,London"
