name, funding_total_usd ,funding_rounds,founded_at,first_funding_at,last_funding_at
Canal do Credito,"750,000",1,,1/1/10,1/1/10
#waywire,"1,750,000",1,6/1/12,6/30/12,6/30/12
&TV Communications,"4,000,000",2,,6/4/10,9/23/10
(In)Touch Network,"1,500,000",1,4/1/11,4/1/11,4/1/11
#NAME?,"600,000",1,1/1/12,8/29/12,8/29/12
.Club Domains,"7,000,000",1,10/10/11,5/31/13,5/31/13
.Fox Networks,"4,912,394",1,,1/16/07,1/16/07
0-6.com,"2,000,000",1,1/1/07,3/19/08,3/19/08
0xdata,"1,700,000",1,1/1/11,1/3/13,1/3/13
1-800-DENTIST,,1,1/1/86,8/19/10,8/19/10
1-800-DOCTORS,"1,750,000",1,1/1/84,3/2/11,3/2/11
10-20 Media,"1,550,000",3,1/1/01,3/30/10,12/28/11
1000 Markets,"500,000",1,1/1/09,5/15/09,5/15/09
1000jobboersen.de,,1,,9/16/11,9/16/11
1000memories,"2,535,000",2,7/1/10,1/1/10,2/16/11
1000museums.com,"4,196,711",3,1/1/08,4/5/11,1/15/14
1001 Menus,"1,736,910",1,11/20/10,11/13/13,11/13/13
100du.tv,"3,000,000",2,,1/7/08,8/13/10
100e.com,"3,000,000",1,,1/1/06,1/1/06
100Plus,"1,250,000",2,9/16/11,11/2/11,11/30/11
1010data,"35,000,000",1,1/1/00,3/8/10,3/8/10
10BestThings,"50,000",1,4/1/09,4/1/09,4/1/09
10seconds Software,"100,000",1,7/1/09,7/1/10,7/1/10
10X Technologies,"3,000,000",1,1/1/12,11/7/12,11/7/12
10X10 Room,"77,500",1,1/1/10,10/12/11,10/12/11
11i Solutions,"1,800,000",1,,3/22/11,3/22/11
121cast,"270,000",2,2/1/12,5/1/12,11/13/12
121nexus,"794,000",6,10/7/11,2/6/12,1/1/14
1234ENTER,"650,267",2,1/1/12,9/1/12,11/22/13
123ContactForm,,1,1/1/08,1/1/10,1/1/10
123people,,1,1/1/07,1/1/08,1/1/08
12Society,,1,1/1/12,4/5/12,4/5/12
1366 Technologies,"66,450,000",8,1/1/07,3/27/08,12/12/13
139shop,,1,,2/1/07,2/1/07
13th Lab,"700,000",1,1/1/10,6/15/12,6/15/12
140 Proof,"5,500,000",2,1/11/10,7/1/09,4/28/11
140Fire,"500,000",1,1/1/10,5/5/10,5/5/10
15Five,"1,200,000",2,5/1/11,1/1/12,1/15/13
15MinutesNOW,"200,000",1,4/19/11,5/10/11,5/10/11
169 ST.,"50,000",1,5/15/09,6/1/09,6/1/09
170 Systems,"14,000,000",1,1/1/90,4/16/02,4/16/02
1bib,,1,1/1/06,2/7/08,2/7/08
1C Company,"200,000,000",1,1/1/91,10/3/11,10/3/11
1calendar,"40,000",1,1/19/09,4/4/08,4/4/08
1Cast,,1,6/1/06,8/12/08,8/12/08
1CLICK,,1,11/1/12,1/26/14,1/26/14
1DayLater,"43,812",2,8/26/09,5/1/09,10/1/09
1DayMakeover,"50,000",1,6/30/08,6/30/08,6/30/08
1Energy Systems,"1,450,000",1,1/1/10,4/22/13,4/22/13
1eq,"1,300,000",2,1/1/12,7/1/12,12/23/13
1Life Healthcare,"30,000,000",1,1/1/02,3/21/13,3/21/13
1Mind,"500,000",1,1/1/11,8/5/13,8/5/13
1o1Media,,1,,10/1/13,10/1/13
1Ring,,1,5/1/09,2/21/11,2/21/11
1SDK,"19,299",1,9/1/12,8/5/13,8/5/13
1spire,"30,000",1,10/1/11,12/20/11,12/20/11
1stdibs,"57,000,000",4,1/1/01,11/3/11,1/24/14
1stGig.com,"750,000",1,8/1/09,10/1/12,10/1/12
1World Online,"1,500,000",2,12/1/11,7/2/13,12/1/13
2 Minutes,"1,660,000",1,10/1/00,6/19/08,6/19/08
2080 Media,"41,000,000",5,1/1/08,8/5/10,7/19/13
20:20 Mobile,"29,750,000",1,9/1/06,7/4/08,7/4/08
20lines,"365,893",2,1/1/12,10/1/12,6/25/13
20x200,"2,800,000",2,9/1/07,10/1/09,8/1/10
21Cake Food Co.,"1,460,000",1,1/1/04,1/22/10,1/22/10
2.10E+07,"5,050,000",1,1/1/13,11/17/13,11/17/13
21GRAMS,"2,580,000",1,,4/3/06,4/3/06
21viaNet,"100,000,000",3,,6/1/08,10/1/13
22nd Century Group,"4,984,750",4,1/1/98,12/28/10,11/16/12
22seeds,"250,000",1,1/1/10,10/15/13,10/15/13
2345.com,"11,000,000",2,,5/1/10,10/1/10
2359 Media,"615,000",1,2/1/09,1/11/11,1/11/11
23andMe,"188,328,971",7,4/1/06,5/1/07,12/21/12
23press,"50,000",1,6/1/11,8/15/11,8/15/11
24 Media Network,"1,209,702",2,,9/1/08,1/1/09
24/7 Card,"3,452,941",3,,10/25/10,12/21/11
247 Techies,"600,000",1,,11/5/12,11/5/12
24M Technologies,"16,000,000",1,1/1/10,8/16/10,8/16/10
24PageBooks,"50,000",2,,3/24/11,5/23/11
24Symbols,,1,8/7/10,10/20/10,10/20/10
24x7 Learning,"4,000,000",1,1/1/01,11/6/07,11/6/07
250ok,"200,000",1,1/1/12,9/1/12,9/1/12
25eight,"25,000",1,,1/26/10,1/26/10
27 bards,,1,1/1/11,11/6/12,11/6/12
27 Perry,"118,000",1,7/25/12,5/17/12,5/17/12
280 North,"250,000",2,,1/1/08,3/1/08
28msec,"5,844,811",1,1/1/08,10/28/13,10/28/13
2C2P,"3,000,000",2,1/1/08,1/1/11,1/28/14
2can,"2,000,000",1,4/12/12,12/1/12,12/1/12
2Catalyze,"6,785,876",1,1/1/08,8/25/10,8/25/10
2CODE Online,,1,10/1/08,1/1/08,1/1/08
2CRisk,"383,000",2,7/1/10,4/1/10,10/10/12
2d2c,"2,500,000",2,,1/21/10,1/18/11
2degreesmobile,"165,000,000",1,1/1/09,6/18/13,6/18/13
2DOLife.com,"250,000",1,12/1/11,11/10/13,11/10/13
2Duche,,2,,6/1/06,8/1/10
2GO Mobile Solutions,"275,000",1,1/1/08,4/9/10,4/9/10
2houses,"856,845",1,5/1/11,11/9/12,11/9/12
"2nd Story Software, Inc.","85,000,000",1,2/15/98,3/30/05,3/30/05
2nd Watch,"27,644,420",3,1/1/10,12/6/11,11/5/13
2NDNATURE,"20,000",1,1/1/04,3/31/13,3/31/13
2sms,"939,000",1,,11/1/07,11/1/07
2theloo,,1,2/17/11,7/10/13,7/10/13
2threads,"300,000",2,5/1/04,8/1/07,6/1/08
2U,"95,875,000",6,1/1/08,3/25/09,10/21/13
2Vancouver,"80,000",1,1/25/12,6/1/11,6/1/11
2Web Technologies,,1,,12/1/01,12/1/01
2Win-Solutions,,1,,1/1/08,1/1/08
3-V Biosciences,"78,089,000",4,3/1/07,7/10/09,6/21/13
30 Second Showcase,"25,000",1,4/1/13,5/20/13,5/20/13
33Across,"24,134,560",4,9/1/07,3/13/09,7/19/12
360Cities,,1,1/1/07,12/1/07,12/1/07
360Guanxi,"5,000,000",1,1/1/00,6/1/09,6/1/09
360imaging,"5,500,000",2,1/1/05,1/1/05,1/1/10
360incentives.com,"7,650,000",1,1/1/08,1/15/13,1/15/13
360Learning,"1,543,920",1,1/1/10,9/30/13,9/30/13
360pi,"4,100,000",2,7/1/07,4/20/12,8/18/13
360T,,1,1/1/00,2/17/12,2/17/12
365Scores,"1,200,000",1,,1/28/13,1/28/13
365webcall,,1,,3/1/04,3/1/04
37signals,,1,1/1/99,7/1/06,7/1/06
382 Communications,"1,600,000",1,1/1/10,1/13/12,1/13/12
39 Health,"3,750,000",2,,3/1/06,3/1/07
3BaysOver,"375,000",1,8/1/11,8/1/11,8/1/11
3C Plus,"75,000",1,1/10/13,1/10/13,1/10/13
3CI,"133,620",1,1/1/08,1/1/11,1/1/11
3ClickEMR Corporation,"500,000",2,6/23/10,6/23/10,6/1/11
3D Biomatrix,"1,465,000",1,1/1/10,2/5/13,2/5/13
3D Eye Solutions,"210,000",1,,4/6/10,4/6/10
3D FUTURE VISION II,"503,000",2,1/1/11,6/22/11,3/21/13
3D Hubs,,1,4/1/13,8/27/13,8/27/13
3D Industri.es,"1,200,000",2,1/1/11,3/1/12,3/1/13
3D Robotics,"35,000,000",2,1/1/09,11/5/12,9/12/13
3D Sports Technology,"909,940",3,1/1/10,1/21/11,7/25/13
3D Systems,"8,819,131",4,1/1/86,1/13/10,1/15/14
3d Vision Systems,"150,000",1,1/1/09,12/3/12,12/3/12
3D-4U,"135,000",1,1/1/12,2/16/10,2/16/10
3dCart Shopping Cart Software,"1,250,000",1,5/1/97,1/1/10,1/1/10
3DiVi Company,"1,870,000",1,4/1/11,1/1/11,1/1/11
3DR Laboratories,"7,200,000",1,,8/23/12,8/23/12
3DSoC,,1,6/1/06,12/1/07,12/1/07
3DVista,"475,000",1,,6/3/08,6/3/08
3FLOZ,"750,000",1,11/1/09,8/16/13,8/16/13
3G Multimedia,"1,700,000",1,9/15/09,1/1/11,1/1/11
3Gear Systems,"349,999",1,1/1/12,3/30/12,3/30/12
3Guppies,"20,000,000",1,1/1/03,4/5/06,4/5/06
3GV8 International Inc,"6,000,000",2,,3/1/06,2/1/07
3i Systems,"6,500,000",1,1/1/04,8/20/07,8/20/07
3Jam,"4,000,000",1,1/1/05,7/1/07,7/1/07
3Leaf,"65,000,000",3,6/1/04,4/30/07,9/22/08
3LM,"1,500,000",1,7/1/10,7/1/10,7/1/10
3P Biopharmaceuticals,"4,783,500",2,,6/29/07,2/5/08
3Pillar Global,"25,920,000",4,8/1/06,1/29/10,6/6/13
3Play Media,"961,601",2,1/1/07,2/8/10,6/21/11
3point5.com,"1,500,000",1,,10/9/06,10/9/06
3POWER ENERGY GROUP,"50,000,000",1,,3/11/11,3/11/11
3rd Planet,"1,500,000",2,6/1/10,2/10/11,5/1/12
3ROAM,"1,394,250",1,1/1/05,11/14/08,11/14/08
3scale,"5,000,000",2,12/1/07,4/20/10,4/24/13
3Scan,"350,000",1,1/1/11,4/23/12,4/23/12
3Seventy,"2,000,000",1,1/1/08,8/19/11,8/19/11
3Sourcing,,1,1/1/12,10/29/13,10/29/13
3SP Group,"13,780,000",1,,5/20/09,5/20/09
3TIER,"15,000,000",3,1/1/99,9/5/07,2/25/10
3Touch,"272,000",1,1/1/03,5/1/07,5/1/07
3V Transaction Services,"25,500,000",1,1/1/04,3/1/13,3/1/13
3VR,"56,567,194",6,1/1/02,1/17/06,10/4/13
3X Systems,"1,693,925",1,11/1/07,5/26/10,5/26/10
4-Tell,"2,234,979",4,4/1/09,7/1/11,7/26/13
404 Found!,"6,246,800",2,1/1/97,7/1/99,7/1/00
40billion.com,"1,050,000",3,1/23/08,4/1/08,6/1/10
410 Labs,"750,000",1,1/1/10,7/11/11,7/11/11
41st Parameter,"38,064,570",4,1/1/04,5/8/06,4/11/12
422 Group,"1,000,000",1,1/1/04,6/15/10,6/15/10
42Floors,"17,400,000",3,1/1/11,12/1/11,1/31/13
42matters,,1,,1/29/14,1/29/14
42Networks,"2,258,720",1,,2/13/06,2/13/06
"43 Things, The Robot Co-op",,1,8/15/04,11/1/04,11/1/04
46elks,"125,070",1,,8/24/12,8/24/12
480 Biomedical,"37,956,999",3,1/1/11,2/14/12,4/12/13
4Blox,,1,8/1/06,9/10/07,9/10/07
4c Insights,"5,000,000",1,1/1/11,1/21/14,1/21/14
4Cable TV,"20,900",1,1/1/05,10/7/13,10/7/13
4DK Technologies,"3,378,975",1,1/1/05,12/12/11,12/12/11
4Home,"9,146,354",5,1/1/06,8/1/06,2/3/10
4INFO,"64,288,000",7,1/1/04,3/1/05,8/4/13
4Less,"1,000,000",1,3/1/12,3/1/12,3/1/12
4moms,"20,000,000",1,1/1/05,8/9/12,8/9/12
4Soils,"50,000",1,,8/26/13,8/26/13
4Tech,"7,000,000",1,1/1/11,12/21/11,12/21/11
4th aspect,"1,121,082",4,3/10/10,3/10/11,8/15/13
4tiitoo,,1,11/28/07,11/15/11,11/15/11
4vets,"762,500",1,1/1/13,8/29/13,8/29/13
5 CUPS and some sugar,"385,980",1,1/1/12,7/23/13,7/23/13
5 examples,"250,000",1,1/1/04,7/14/10,7/14/10
5 Minutes,"3,500,000",1,,12/21/09,12/21/09
5 O'Clock Records,"440,000",1,1/1/12,1/8/13,1/8/13
50 Cubes,,1,,1/1/12,1/1/12
500 Luchadores,"2,013,000",1,,1/27/14,1/27/14
500Friends,"12,900,000",4,1/1/10,12/15/09,3/12/13
500px,"9,325,000",2,4/1/04,6/3/11,8/7/13
51 Auto,"4,500,000",1,,6/1/08,6/1/08
51 Give,,1,9/1/07,6/10/08,6/10/08
51.com,"27,000,000",3,1/1/05,5/1/06,7/1/07
5173.com,"9,300,000",3,,3/1/04,12/1/07
51edj,"2,000,000",2,,3/1/12,12/1/12
51edu,,2,,1/1/06,1/1/10
51hejia.com,"10,000,000",1,,7/26/07,7/26/07
51intern.com †±ƒ__ï,,1,5/18/10,11/1/10,11/1/10
51Talk,"12,000,000",1,1/1/11,12/15/13,12/15/13
55social,"3,000,000",1,7/14/11,11/1/11,11/1/11
55tuan.com,"50,000,000",2,3/15/10,12/1/10,7/1/11
56.com,"30,000,000",2,4/1/05,6/1/07,12/1/07
58.com,"140,780,000",5,1/1/05,2/1/06,1/1/11
591wed,"10,000,000",1,,12/3/13,12/3/13
5BARz International,"2,600,000",1,1/1/08,11/12/13,11/12/13
5gig,"368,750",1,12/1/07,10/10/09,10/10/09
5min Media,"12,800,000",3,1/1/07,4/1/07,7/23/09
5minutes,"15,873",1,3/19/11,3/19/12,3/19/12
5o9,"50,000",1,1/1/06,5/14/13,5/14/13
5Rocks,"4,100,000",2,1/1/10,9/1/10,9/3/13
5th Finger,"7,000,000",1,1/1/08,6/13/08,6/13/08
5to1,"14,637,236",5,1/1/09,4/27/09,11/10/10
60mo,"1,300,000",3,6/1/09,6/29/09,1/19/11
64 Pixels,"100,000",1,10/1/10,10/1/10,10/1/10
6connect,"2,000,000",1,1/1/09,8/23/11,8/23/11
6fusion,"12,750,000",3,1/1/08,8/23/10,7/25/13
6Scan,,2,1/1/11,8/4/11,1/3/13
6sicuro.it,"3,134,880",1,,3/14/12,3/14/12
6th Sense Analytics,"6,700,000",2,1/1/04,11/11/05,1/31/07
6Waves,"52,588,928",2,1/1/11,1/21/10,8/4/11
6Wunderkinder,"23,857,750",5,9/1/10,12/21/10,11/12/13
7 Billion People,"6,528,902",3,1/1/06,2/9/09,7/13/12
7 Cups of Tea,,2,1/1/13,3/1/13,9/1/13
