company_name,investor_name
Tokita Investments,01Startups
AdverCar,1-800-FLOWERS.COM
LaunchGram,10Xelerator
uTaP,10Xelerator
ZoopShop,10Xelerator
eFuneral,10Xelerator
Tackk,10Xelerator
Acclaimd,10Xelerator
Acceptd,10Xelerator
Prized,10Xelerator
Imagry,10Xelerator
MoveEZ,10Xelerator
ConnectToHome,10Xelerator
Acclaimd,10Xelerator
Panopticon Laboratories,10Xelerator
Fly Apparel,10Xelerator
OYE!,10Xelerator
Nival,1C Company
StartMe,1st Media services
readfy,1stMover.org
ToVieFor,2010 NYU Stern Business Plan Competition
iSpye,20:20 Multimedia Group
Aentropico,1/27/58
OHK Labs,22Hundred Group
LATTO,2BAngles
LATTO,2BAngles
AIRVEND,365 Retail Markets
Yikuaiqu,36Kr
Blokify,3D Systems
Ecovative Design,3M Company
Lovely,3taps
myFairPartner,3U HOLDING AG
Birthday Slam,3W Capital
peerTransfer,500 Hats
51intern.com èÜ±èÉ_ç_Ô,51intern Consulting
Buzzoole,56CUBE
Intertwine,56CUBE
KartRocket,5ideas.in
Viss,8 Plus Holding
sfilatino,99 Fahrenheit
spotdock,"9mmedia, LLC"
AG&P,A. Soriano Corporation
Azure Solutions,A.G. Edwards & Sons
Fisker Automotive,A123 Systems
Fisker Automotive,A123 Systems
MetroFlats.com,AA Investments
SportSetter,Aalto Start Up Center
Peerz,AamigoO.com
MesoCoat,Abakan
Trilliant,ABB
Power Assure,ABB
Pentalum Technologies,ABB
Aquamarine Power,ABB
Trilliant,ABB
ECOtality,ABB
Aquamarine Power,ABB
Evalve,Abbott Labs
Ovalis,Abbott Labs
Alvine Pharmaceuticals,AbbVie
Avaxia Biologics,AbbVie
AuraSense Therapeutics,AbbVie
LibraryThing,AbeBooks
HelioVolt,Abengoa Solar
Mindset Studio,Abexa
Brash Entertainment,ABRY Partners
QuoVadis,ABRY Partners
Airband Communications Holdings,ABRY Partners
Xand,ABRY Partners
Multiply,ABS-CBN GLOBAL LTD.
TareasPlus,Academic Partnerships
Infindo Technology Sdn Bhd,Accel-X Pte Ltd
MeSixty,Accel-X Pte Ltd
Inverted Edge,Accel-X Pte Ltd
D8A Group,Acceleprise
StayNTouch,Acceleprise
Adchemy,Accenture
Predixion Software,Accenture
Apigee,Accenture
Gemini Mobile Technologies,Access
Zoona,Accion
DemystData,Accion
PayClip,Accion
Kopo Kopo,Accion
Vigno,Ace Ventures
Fuhu,Acer
SNAPP',ACI
Corridor Pharmaceuticals,Acidophil
Corridor Pharmaceuticals,Acidophil
Stakeforce,Acina Investments
eSolar,ACME Group
CoaLogix,Acorn Energy
Sustainable Industrial Solutions,Acorn Innovestments
nprogress,Activation Media
Krossover,Active Angels
CasterStats,Active Up
Kupoya,ACTU-CCI
Kynetx,Acxiom
Brand Affinity Technologies,ad pepper media
Videovalis GmbH,ad pepper media
Socialtyze,ad pepper media
Get Satisfaction,Adaptive Path
Ooolala,Adcash
Path.To,Adecco
CRAiLAR,Adidas Group
Cequint,AdmitOne Security
56.com,Adobe Systems
Veoh,Adobe Systems
Demandbase,Adobe Systems
scanR,Adobe Systems
Demandbase,Adobe Systems
Demandbase,Adobe Systems
Scrybe,Adobe Systems
The Virtual Pulp Company,Adtoma
Wanderful Media,Advance Digital
Kno,Advance Publications
Visible Measures,Advance Publications
Unified,Advance Publications
Visible Measures,Advance Publications
Newsle,Advance Publications
Gigya,Advance Publications
Urban Compass,Advance Publications
Newsle,Advance Publications
Row44,Advanced Inflight Alliance
Sols,Advanced Laser Materials (ALM)
Avancert,Advancer
CN Creative,Advent Life Sciences
Vestagen Technical Textiles,Advent Life Sciences
Vestagen Technical Textiles,Advent Life Sciences
Oceans Inc.,Adways
Bypass Mobile,AEG
Tigerspike,Aegis Media
GreatPoint Energy,AES Corporation
Gobbler,"AF Square, LLC"
Community Medical Centers,Affordable Care Act
Easy Taxi,Africa Internet Holding
Seedrs,AFT Holdings
Bolster,AGB Holdings
Rolith,AGC America
Citizenside,Agence France Presse (AFP)
Gen9,Agilent Technologies
