"","Name","raised_amount_usd"
"3i Group","3i Group",20709100.372549
"3M New Ventures","3M New Ventures",4882993
"A-Grade Investments","A-Grade Investments",4216666.66666667
"Abingworth","Abingworth",34740834.5862069
"Acacia Capital Partners","Acacia Capital Partners",1.6e+07
"Accede Capital","Accede Capital",6900000
"Accel Partners","Accel Partners",8727059.62133891
"Accelerator Ventures","Accelerator Ventures",2372835.73333333
"ACE & Company","ACE & Company",1259615.38461538
"ACT Venture Capital","ACT Venture Capital",8581014.44444444
"Actis","Actis",78600000
"Active Venture Partners","Active Venture Partners",5511723.33333333
"Acton Capital Partners","Acton Capital Partners",15184112.9090909
"Adams Street Partners","Adams Street Partners",19204362.3188406
"Adara Venture Partners","Adara Venture Partners",9693437.5
"Adobe Ventures","Adobe Ventures",10237500
"Advanced Technology Ventures","Advanced Technology Ventures",14848734.9791667
"Advantage Capital Partners","Advantage Capital Partners",6455178.67346939
"Advantage Creative Fund","Advantage Creative Fund",236000
"Advent Venture Partners","Advent Venture Partners",12463339.3488372
"Adventure Capital","Adventure Capital",250000
"Aisling Capital","Aisling Capital",23736529.0967742
"Albion Ventures","Albion Ventures",3756240
"Aleph","Aleph",5e+06
"Alfred Wieder AG","Alfred Wieder AG",1190000
"Alloy Ventures","Alloy Ventures",14876470.0108696
"Alsop Louie Partners","Alsop Louie Partners",5887154.86666667
"Alta Partners","Alta Partners",19391419.6235294
"Altos Ventures","Altos Ventures",4797290.20833333
"Alven Capital","Alven Capital",4729904.16666667
"Amadeus Capital Partners","Amadeus Capital Partners",14256544.9275362
"AME Cloud Ventures","AME Cloud Ventures",6596428.57142857
"Amgen Ventures","Amgen Ventures",2.6e+07
"Amicus Capital","Amicus Capital",4144827.5862069
"Amplify Partners","Amplify Partners",7328571.42857143
"Andreessen Horowitz","Andreessen Horowitz",15395953.27897
"Anthem Venture Partners","Anthem Venture Partners",9550466.59459459
"Anthos Capital","Anthos Capital",5666666.66666667
"AOL Ventures","AOL Ventures",5781911.76470588
"Apax Partners","Apax Partners",12489047.6190476
"Applied Ventures","Applied Ventures",16855698.3333333
"Apposite Capital","Apposite Capital",27780000
"ARC Financial","ARC Financial",2542500
"ARCH Venture Partners","ARCH Venture Partners",15928574.5869565
"Ariadne Capital","Ariadne Capital",1500000
"Arsenal Venture Partners","Arsenal Venture Partners",9140000
"Artiman Ventures","Artiman Ventures",16247696.9393939
"ARTIS Ventures","ARTIS Ventures",22065789.4736842
"Arts Alliance Ventures","Arts Alliance Ventures",7448185.07692308
"Ascension Ventures","Ascension Ventures",12037166.1578947
"Asset Management Ventures","Asset Management Ventures",21454117.6470588
"ATA Ventures","ATA Ventures",8336619.14084507
"Atlantic Bridge","Atlantic Bridge",13825465.3846154
"Atlas Venture","Atlas Venture",6942096.2760181
"Atomico","Atomico",15701495.7037037
"Augment Investments","Augment Investments",1e+07
"Augmentum Capital","Augmentum Capital",17096497.5
"August Capital","August Capital",9782999.19090909
"Aurelia Private Equity","Aurelia Private Equity",5620546.66666667
"Austin Ventures","Austin Ventures",7739051.68047337
"Austral Capital","Austral Capital",2848000
"Avalon Ventures","Avalon Ventures",5733044.7972973
"Avlar BioVentures","Avlar BioVentures",8895900.83333333
"AXM Venture Capital Limited","AXM Venture Capital Limited",659134
"Axon Partners Group","Axon Partners Group",2456983.33333333
"Azini Capital Partners","Azini Capital Partners",8250000
"Azure Capital Partners","Azure Capital Partners",10198546.7741935
"b-to-v Partners AG","b-to-v Partners AG",6223757.14285714
"Bain Capital Ventures","Bain Capital Ventures",13546576.5765766
"Balderton Capital","Balderton Capital",10877351.0980392
"Band of Angels","Band of Angels",3498658.13461538
"Baroda Ventures","Baroda Ventures",8409976.42307692
"Baseline Ventures","Baseline Ventures",4430717.93258427
"Battery Ventures","Battery Ventures",13152098.7983193
"Bay Partners","Bay Partners",9961349.48453608
"Bayview Capital","Bayview Capital",3500000
"BDC Venture Capital","BDC Venture Capital",5712243.79878049
"Bee Partners","Bee Partners",3523181.81818182
"Benchmark","Benchmark",8473858.1559322
"Bessemer Venture Partners","Bessemer Venture Partners",9531111.02491103
"BEST Funds","BEST Funds",2882121.18181818
"Bestport Ventures","Bestport Ventures",6870000
"betaworks","betaworks",1732811.02439024
"Bioventures Investors","Bioventures Investors",13548571.4285714
"Birchmere Ventures","Birchmere Ventures",14257894.7368421
"Blackbird Ventures (Australia)","Blackbird Ventures (Australia)",1234828.25
"Bloomberg Beta","Bloomberg Beta",4250000
"BlueRun Ventures","BlueRun Ventures",7388928.35632184
"Blumberg Capital","Blumberg Capital",3652233.20754717
"Blume Ventures","Blume Ventures",640550.416666667
"BOLDstart Ventures","BOLDstart Ventures",2094166.66666667
"Bowery Capital","Bowery Capital",2816666.66666667
"BoxGroup","BoxGroup",2181731.09174312
"Brandon Capital Partners","Brandon Capital Partners",7244656.5
"Brightspark Ventures","Brightspark Ventures",7198972.46666667
"Brooklyn Bridge Ventures","Brooklyn Bridge Ventures",1393000
"Bullpen Capital","Bullpen Capital",4329338.85714286
"Burch Creative Capital","Burch Creative Capital",4e+06
"CAA Ventures","CAA Ventures",1.3e+07
"California Technology Ventures","California Technology Ventures",9524153.875
"Canaan Partners","Canaan Partners",7940768.74468085
"Canyon Creek Capital","Canyon Creek Capital",3915000
"Capnamic Ventures","Capnamic Ventures",4300000
"Capricorn Investment Group","Capricorn Investment Group",39827272.6363636
"Carmel Ventures","Carmel Ventures",4963820.2247191
"Catapult Venture Managers","Catapult Venture Managers",1683798.12
"Celtic House Venture Partners","Celtic House Venture Partners",9117081.0625
"CentreStone Ventures","CentreStone Ventures",3500000
"CFH","CFH",24312500
"Charles River Ventures","Charles River Ventures",6567287.49537037
"Chart Venture Partners","Chart Venture Partners",7383333.33333333
"Chicago Growth Partners","Chicago Growth Partners",16292364.6666667
"Cipio Partners","Cipio Partners",9486199.95833333
"Cisco","Cisco",11633485.9882353
"Clarendon Fund Managers","Clarendon Fund Managers",3981132.5
"Clave Mayor","Clave Mayor",3307276.36363636
"Clean Energy Venture Group","Clean Energy Venture Group",1893333.33333333
"Cleantech Ventures","Cleantech Ventures",9e+06
"Clearpoint Ventures","Clearpoint Ventures",17500000
"Clearstone Venture Partners","Clearstone Venture Partners",7636402.29508197
"CM Capital Investments","CM Capital Investments",6954782.60869565
"Coatue Management","Coatue Management",47500000
"Collaborative Fund","Collaborative Fund",3716666.66666667
"Columbia Capital","Columbia Capital",16458846.1538462
"Columbia Partners Private Capital","Columbia Partners Private Capital",2.5e+07
"Comcast Ventures","Comcast Ventures",9926301.36986301
"Conduit Ventures","Conduit Ventures",10272286
"Confrapar","Confrapar",1037500
"Connect Ventures","Connect Ventures",2643825.6
"Connecticut Innovations","Connecticut Innovations",1163819.56962025
"Core VC","Core VC",2e+06
"Correlation Ventures","Correlation Ventures",5126872.89189189
"Costanoa Venture Capital","Costanoa Venture Capital",5967857.14285714
"Covera Ventures","Covera Ventures",6397826.08695652
"Covington Funds","Covington Funds",4966666.66666667
"Cowboy Ventures","Cowboy Ventures",2838125
"Coyote Ridge Ventures","Coyote Ridge Ventures",1100000
"Creandum","Creandum",7960448
"Creathor Venture Management","Creathor Venture Management",6763252.94117647
"Credo Ventures","Credo Ventures",1160915
"Crescent Capital","Crescent Capital",5660000
"Crosscut Ventures","Crosscut Ventures",1850321.94444444
"Crosslink Capital","Crosslink Capital",10056233.3700787
"Crosspoint Venture Partners","Crosspoint Venture Partners",16663636.3636364
"CrunchFund","CrunchFund",8608674.00952381
"Cue Ball","Cue Ball",8033333.33333333
"Cultivian Ventures","Cultivian Ventures",9900000
"CVC Capital Partners","CVC Capital Partners",644000
"Cycle Capital","Cycle Capital",22146249.1666667
"Dace Ventures","Dace Ventures",5523750
"DAG Ventures","DAG Ventures",12413913.9360465
"Data Collective","Data Collective",5850298.21428571
"Data Point Capital","Data Point Capital",3062500
"Dawn Capital","Dawn Capital",12346991.5454545
"DBL Investors","DBL Investors",29241904.7619048
"DCM","DCM",12026470.3835616
"Dell Ventures","Dell Ventures",1.6e+07
"Delphi Ventures","Delphi Ventures",22298674.5714286
"Deutsche Telekom","Deutsche Telekom",32250000
