company_name,investor_name,investor_category_code,funded_year
Tokita Investments,01Startups,,2013
AdverCar,1-800-FLOWERS.COM,ecommerce,2012
LaunchGram,10Xelerator,finance,2012
uTaP,10Xelerator,finance,2012
ZoopShop,10Xelerator,finance,2012
eFuneral,10Xelerator,finance,2011
Tackk,10Xelerator,finance,2012
Acclaimd,10Xelerator,finance,2012
Acceptd,10Xelerator,finance,2011
Prized,10Xelerator,finance,2013
Imagry,10Xelerator,finance,2013
MoveEZ,10Xelerator,finance,2013
ConnectToHome,10Xelerator,finance,2013
Acclaimd,10Xelerator,finance,2012
Panopticon Laboratories,10Xelerator,finance,2013
Fly Apparel,10Xelerator,finance,2013
OYE!,10Xelerator,finance,2013
Nival,1C Company,software,2010
StartMe,1st Media services,,2011
readfy,1stMover.org,,2013
ToVieFor,2010 NYU Stern Business Plan Competition,,2010
iSpye,20:20 Multimedia Group,,2012
Aentropico,1/27/58,web,2013
OHK Labs,22Hundred Group,,2011
LATTO,2BAngles,,2011
LATTO,2BAngles,,2013
AIRVEND,365 Retail Markets,software,2014
Yikuaiqu,36Kr,,2014
Blokify,3D Systems,software,2013
Ecovative Design,3M Company,,2013
Lovely,3taps,web,2012
myFairPartner,3U HOLDING AG,,2009
Birthday Slam,3W Capital,,2010
peerTransfer,500 Hats,,2010
51intern.com èÜ±èÉ_ç_Ô,51intern Consulting,,2010
Buzzoole,56CUBE,other,2013
Intertwine,56CUBE,other,2013
KartRocket,5ideas.in,other,2013
Viss,8 Plus Holding,,2013
sfilatino,99 Fahrenheit,finance,2012
spotdock,"9mmedia, LLC",,2012
AG&P,A. Soriano Corporation,finance,2013
Azure Solutions,A.G. Edwards & Sons,,2005
Fisker Automotive,A123 Systems,nanotech,2010
Fisker Automotive,A123 Systems,nanotech,2011
MetroFlats.com,AA Investments,,2010
SportSetter,Aalto Start Up Center,,2012
Peerz,AamigoO.com,,2010
MesoCoat,Abakan,cleantech,2009
Trilliant,ABB,cleantech,2010
Power Assure,ABB,cleantech,2010
Pentalum Technologies,ABB,cleantech,2010
Aquamarine Power,ABB,cleantech,2010
Trilliant,ABB,cleantech,2010
ECOtality,ABB,cleantech,2011
Aquamarine Power,ABB,cleantech,2011
Evalve,Abbott Labs,biotech,2007
Ovalis,Abbott Labs,biotech,2007
Alvine Pharmaceuticals,AbbVie,biotech,2013
Avaxia Biologics,AbbVie,biotech,2013
AuraSense Therapeutics,AbbVie,biotech,2013
LibraryThing,AbeBooks,web,2006
HelioVolt,Abengoa Solar,cleantech,2007
Mindset Studio,Abexa,,2010
Brash Entertainment,ABRY Partners,other,2007
QuoVadis,ABRY Partners,other,2007
Airband Communications Holdings,ABRY Partners,other,2011
Xand,ABRY Partners,other,2013
Multiply,ABS-CBN GLOBAL LTD.,public_relations,2008
TareasPlus,Academic Partnerships,,2012
Infindo Technology Sdn Bhd,Accel-X Pte Ltd,,2011
MeSixty,Accel-X Pte Ltd,,2011
Inverted Edge,Accel-X Pte Ltd,,2013
D8A Group,Acceleprise,,2012
StayNTouch,Acceleprise,,2013
Adchemy,Accenture,consulting,2009
Predixion Software,Accenture,consulting,2013
Apigee,Accenture,consulting,2013
Gemini Mobile Technologies,Access,,2007
Zoona,Accion,nonprofit,2012
DemystData,Accion,nonprofit,2012
PayClip,Accion,nonprofit,2013
Kopo Kopo,Accion,nonprofit,2013
Vigno,Ace Ventures,consulting,2011
Fuhu,Acer,hardware,2009
SNAPP',ACI,,2010
Corridor Pharmaceuticals,Acidophil,biotech,2010
Corridor Pharmaceuticals,Acidophil,biotech,2008
Stakeforce,Acina Investments,,2012
eSolar,ACME Group,,2009
CoaLogix,Acorn Energy,cleantech,2009
Sustainable Industrial Solutions,Acorn Innovestments,,2011
nprogress,Activation Media,games_video,2011
Krossover,Active Angels,,2011
CasterStats,Active Up,,2009
Kupoya,ACTU-CCI,,2012
Kynetx,Acxiom,software,2009
Brand Affinity Technologies,ad pepper media,advertising,2010
Videovalis GmbH,ad pepper media,advertising,2010
Socialtyze,ad pepper media,advertising,2010
Get Satisfaction,Adaptive Path,web,2007
Ooolala,Adcash,advertising,2013
Path.To,Adecco,,2012
CRAiLAR,Adidas Group,,2013
Cequint,AdmitOne Security,security,2006
56.com,Adobe Systems,software,2007
Veoh,Adobe Systems,software,2008
Demandbase,Adobe Systems,software,2008
scanR,Adobe Systems,software,2007
Demandbase,Adobe Systems,software,2011
Demandbase,Adobe Systems,software,2013
Scrybe,Adobe Systems,software,2012
The Virtual Pulp Company,Adtoma,advertising,2013
Wanderful Media,Advance Digital,,2013
Kno,Advance Publications,public_relations,2011
Visible Measures,Advance Publications,public_relations,2011
Unified,Advance Publications,public_relations,2012
Visible Measures,Advance Publications,public_relations,2012
Newsle,Advance Publications,public_relations,2013
Gigya,Advance Publications,public_relations,2013
Urban Compass,Advance Publications,public_relations,2013
Newsle,Advance Publications,public_relations,2013
Row44,Advanced Inflight Alliance,,2012
Sols,Advanced Laser Materials (ALM),manufacturing,2013
Avancert,Advancer,,2010
CN Creative,Advent Life Sciences,,2012
Vestagen Technical Textiles,Advent Life Sciences,,2013
Vestagen Technical Textiles,Advent Life Sciences,,2013
Oceans Inc.,Adways,advertising,2011
Bypass Mobile,AEG,,2013
Tigerspike,Aegis Media,advertising,2011
GreatPoint Energy,AES Corporation,semiconductor,2007
Gobbler,"AF Square, LLC",,2012
Community Medical Centers,Affordable Care Act,,2013
Easy Taxi,Africa Internet Holding,,2013
Seedrs,AFT Holdings,,2014
Bolster,AGB Holdings,,2012
Rolith,AGC America,,2012
Citizenside,Agence France Presse (AFP),,2007
Gen9,Agilent Technologies,biotech,2013
Gextech Holdings,AGTech Holdings,,2009
Homesnap,AH Belo,,2009
Digital Air Strike,AH Belo,,2009
