3i Group,2
3M New Ventures,2
A-Grade Investments,3
Abingworth,2
Acacia Capital Partners,2
Accede Capital,2
Accel Partners,2
Accelerator Ventures,3
ACE & Company,3
ACT Venture Capital,2
Actis,2
Active Venture Partners,2
Acton Capital Partners,2
Adams Street Partners,2
Adara Venture Partners,2
Adobe Ventures,2
Advanced Technology Ventures,2
Advantage Capital Partners,2
Advantage Creative Fund,2
Advent Venture Partners,2
Adventure Capital,3
Aisling Capital,2
Albion Ventures,2
Aleph,2
Alfred Wieder AG,2
Alloy Ventures,2
Alsop Louie Partners,3
Alta Partners,2
Altos Ventures,2
Alven Capital,2
Amadeus Capital Partners,2
AME Cloud Ventures,3
Amgen Ventures,2
Amicus Capital,3
Amplify Partners,3
Andreessen Horowitz,2
Anthem Venture Partners,2
Anthos Capital,3
AOL Ventures,3
Apax Partners,2
Applied Ventures,2
Apposite Capital,2
ARC Financial,2
ARCH Venture Partners,2
Ariadne Capital,3
Arsenal Venture Partners,3
Artiman Ventures,2
ARTIS Ventures,2
Arts Alliance Ventures,2
Ascension Ventures,2
Asset Management Ventures,2
ATA Ventures,2
Atlantic Bridge,2
Atlas Venture,2
Atomico,3
Augment Investments,2
Augmentum Capital,2
August Capital,2
Aurelia Private Equity,2
Austin Ventures,2
Austral Capital,2
Avalon Ventures,2
Avlar BioVentures,2
AXM Venture Capital Limited,3
Axon Partners Group,2
Azini Capital Partners,2
Azure Capital Partners,2
b-to-v Partners AG,3
Bain Capital Ventures,2
Balderton Capital,2
Band of Angels,3
Baroda Ventures,3
Baseline Ventures,3
Battery Ventures,2
Bay Partners,2
Bayview Capital,3
BDC Venture Capital,2
Bee Partners,3
Benchmark,2
Bessemer Venture Partners,2
BEST Funds,2
Bestport Ventures,2
betaworks,3
Bioventures Investors,2
Birchmere Ventures,2
Blackbird Ventures (Australia),3
Bloomberg Beta,3
BlueRun Ventures,2
Blumberg Capital,3
Blume Ventures,3
BOLDstart Ventures,3
Bowery Capital,3
BoxGroup,3
Brandon Capital Partners,2
Brightspark Ventures,3
Brooklyn Bridge Ventures,3
Bullpen Capital,3
Burch Creative Capital,3
CAA Ventures,3
California Technology Ventures,2
Canaan Partners,2
Canyon Creek Capital,3
Capnamic Ventures,2
