"","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7","Comp.8","Comp.9","Comp.10","Comp.11","Comp.12","Comp.13","Comp.14","Comp.15","Comp.16","Comp.17"
"age",-2.26922081101764e-06,-1.85506668689993e-06,1.19489931555345e-06,-2.75420285146277e-06,-1.27790275055613e-06,2.06145694019301e-07,-3.49149908712687e-07,5.91919873619068e-06,-1.39696881605464e-05,8.74947896800602e-06,-9.34636581630034e-05,6.07621248069409e-06,1.83193282228319e-05,4.06913303594342e-05,0.000555193902761994,0.9999998403349,-5.9619204251662e-08
"from_1",0.000126995625558513,-6.16990982128252e-05,-0.000817164558665744,0.00280011350830202,-0.00382086988963113,-0.00744179924956885,-0.00344458144963934,-0.00362520486710716,0.0916466764756195,-0.175000394313196,-0.875237657890429,0.0973846483046418,0.127615229847475,-0.0670859638635778,-0.271389152176596,7.14901938716892e-05,-0.301511617847521
"from_3",-0.0120495002431328,-0.0195482833300102,0.0495015314792376,-0.0464707067809336,0.260756263320858,-0.716335829658576,-0.335999903402271,0.0835872163155685,-0.25596923343712,0.138050388911707,0.165117948824849,0.0541811144129869,0.100462200407494,-0.066516745410089,-0.271376190926543,0.000161452405076237,-0.301511617846228
"from_2",-0.632422320675286,-0.195901935225332,-0.00254379615430184,-0.0306078131351895,-0.447257811265776,0.269470081491753,-0.00860075864000169,0.0657289908379552,-0.236151045881168,0.134283665843356,0.162668361516966,0.0611560970802863,0.103405844602765,-0.0665379558288229,-0.271373083548289,0.00015891909171101,-0.301511617842823
"from_IRL",9.58568213879187e-06,-8.02924544557254e-05,-0.000206271770297527,0.000314245254954889,-0.000758558951961945,-0.00224225853208692,-0.00109345182586971,-0.000491097088215585,-0.0124160822902882,0.0132006543733719,0.0120302328621159,-0.0573820734548743,0.924736350892915,-0.0421126165849643,0.373250756041432,-0.000221266399238902,3.7602010652921e-07
"from_ISR",-7.62606956496131e-05,0.000454311604601177,-0.000116353190793992,0.00178709748453078,-0.00575606755972467,0.000874130378187195,0.0034201094789667,-0.0116315601803533,-0.202083165081622,0.829668481590712,-0.313731138848396,0.080047327106619,-0.157952028405141,-0.0402172566064118,0.373131567904209,-0.000242453153064248,3.76019157020382e-07
"from_GBR",-0.0191045205232678,-0.0230743246959309,0.0391430129296854,0.108993797821363,-0.668608410295915,-0.408917809311804,-0.277130096964604,0.104992064876591,0.30358743850598,-0.152355009445311,-0.0573593153066978,0.0592656655638808,-0.143590318556678,-0.0399766423468328,0.373120783149949,-0.000204365395333422,3.76018200546821e-07
"from_CAN",-8.31738589903374e-05,-0.00041368655923379,0.00114951274010926,0.0015793965833541,-0.00720850687023055,0.00513104022948828,0.00887664810910836,-0.024116359405966,-0.787335955974014,-0.443048223388171,-0.120542539103982,0.0706129699566247,-0.150724844953497,-0.0401128456742645,0.373127220751469,-0.000221444773474792,3.76018878643885e-07
"from_USA",-0.625090939241783,-0.19239874736049,0.0061712950072866,-0.186956418161475,0.492007937333364,-0.0491512268298564,-0.0821149611946617,0.0769329371313931,0.297789750242297,-0.150154339640598,-0.0679468931036995,0.0585454529730504,-0.141481806413785,-0.039988307160989,0.373119866965335,-0.000206310229623963,3.76017305597776e-07
"from_private.equity",-0.00806982394927811,-0.0107832587322481,-0.0121673555867318,-0.0482720077676318,0.0277134008171379,0.295648346862759,-0.855260386662557,-0.186077180488941,-0.0687877959734546,0.0170608085160221,-0.0975496717110126,-0.120245215523091,0.0382025306125372,0.106539956622007,-0.101746918787877,4.25957775029673e-05,0.301511241826137
"from_crowdfunding",2.36041167877777e-06,3.55131074070597e-06,-3.32348956633036e-06,1.33058993072643e-05,1.47896187837853e-05,-5.7825073193995e-06,-3.1738441369521e-05,7.70208765096157e-05,0.000120509034067498,-6.73073867565069e-05,0.000594473725492153,0.00194116534208723,-0.00165348078180832,-0.947925951808925,-0.10256933715071,9.56121652463877e-05,0.301511243323743
"from_angel",3.82044472400934e-05,-0.00031375837237579,0.000858532786115453,-0.0012167222992451,0.00237708554340013,-0.00423369449505878,-0.00266337523494721,0.00567900907175815,0.00615644678665851,-0.00324076515986194,0.0395902014384163,0.935258234108675,0.103388017267394,0.108602343892188,-0.101086237367129,4.79235422560331e-05,0.301511242541683
"from_series.a",-0.0206774900869872,-0.0612440129623122,0.0775647793926389,-0.843845885922206,-0.201599981895951,-0.208137589644511,0.16880393688396,-0.152329856788391,-0.060291047043793,0.0159865025802149,-0.0979412022535004,-0.120428770175,0.0384299078258328,0.106496597028649,-0.101749274334479,4.02352994586442e-05,0.301511241823548
"from_series.b",-0.0940471549470854,-0.406177464157937,0.712297440027287,0.347221534081957,0.014956909696122,-0.133009767562956,0.129422106826892,-0.148622212468088,-0.0592515118410214,0.0162639622767287,-0.0960513516906537,-0.120011370824514,0.0384642595751603,0.106516060681622,-0.101747538866753,4.2360293530855e-05,0.301511241825084
"from_series.c.",-0.439422282117593,0.732089460899708,-0.0382056290332089,0.227156417132228,-0.025036517371598,-0.206208164592309,0.108738583480495,-0.146934918089174,-0.0611674533972299,0.0154917007981918,-0.0950075988808922,-0.11938912322082,0.0382165675192861,0.106523155383959,-0.101746798156523,4.427858857141e-05,0.301511241825645
