Name,Pagerank,In-degree Centrality,Out-degree Centrality,Closeness Centrality,Betweenness Centrality,Eigenvector Centrality
"SV Angel","0.0252142354663","0.385382059801","0.385382059801","0.541083764624","0.0245989201428","0.0430730492254"
"Intel Capital","0.0136629526427","0.395348837209","0.395348837209","0.554280929615","0.0475656695523","0.0430730492254"
"Accel Partners","0.0131053158542","0.358803986711","0.358803986711","0.536220090336","0.0311906642119","0.0430730492254"
"First Round Capital","0.0125380696646","0.305647840532","0.305647840532","0.50447767484","0.00925035007047","0.0430730492254"
"Kleiner Perkins Caufield & Byers","0.0124314369907","0.332225913621","0.332225913621","0.521569268195","0.020693568162","0.0430730492254"
"New Enterprise Associates","0.0123855782368","0.345514950166","0.345514950166","0.529086341905","0.0218668938179","0.0430730492254"
"Andreessen Horowitz","0.0108936122454","0.270764119601","0.270764119601","0.491995752988","0.00822220220555","0.0430730492254"
"Draper Fisher Jurvetson (DFJ)","0.0106893658616","0.345514950166","0.345514950166","0.530262089332","0.0269906299943","0.0430730492254"
"Sequoia Capital","0.0103806511361","0.28073089701","0.28073089701","0.502882908745","0.010772844576","0.0430730492254"
"Greylock Partners","0.0103252431202","0.294019933555","0.294019933555","0.503944963462","0.0103304990129","0.0430730492254"
"Google Ventures","0.00933786799568","0.290697674419","0.290697674419","0.502353558314","0.0120246883732","0.0430730492254"
"Index Ventures","0.00901381419033","0.270764119601","0.270764119601","0.502353558314","0.0239447828154","0.0430730492254"
"Lerer Ventures","0.00880457120747","0.224252491694","0.224252491694","0.477713593993","0.00440238571117","0.0430730492254"
"Bessemer Venture Partners","0.00824564235992","0.313953488372","0.313953488372","0.515373520949","0.0163973807228","0.0430730492254"
"Founder Collective","0.00809349977909","0.230897009967","0.230897009967","0.47915249036","0.00699485367954","0.0430730492254"
"Benchmark","0.00807318947709","0.255813953488","0.255813953488","0.489975236549","0.00669529041162","0.0430730492254"
"Felicis Ventures","0.00794555402577","0.275747508306","0.275747508306","0.495572046105","0.00762263673526","0.0430730492254"
"DAG Ventures","0.0072672343872","0.21926910299","0.21926910299","0.481570010493","0.00690127296751","0.0430730492254"
"General Catalyst Partners","0.00726321283512","0.264119601329","0.264119601329","0.495572046105","0.0141739169047","0.0430730492254"
"Khosla Ventures","0.00710113039317","0.244186046512","0.244186046512","0.491995752988","0.00885721516206","0.0430730492254"
"CrunchFund","0.00699458511573","0.225913621262","0.225913621262","0.478192264929","0.00514828851902","0.0430730492254"
"Battery Ventures","0.00672970392499","0.28073089701","0.28073089701","0.50447767484","0.0115992909948","0.0430730492254"
"Redpoint Ventures","0.00671754877137","0.224252491694","0.224252491694","0.47915249036","0.00475711456117","0.0430730492254"
"Charles River Ventures","0.00666691162081","0.252491694352","0.252491694352","0.487971247851","0.00659884127826","0.0430730492254"
"Menlo Ventures","0.00630066339225","0.270764119601","0.270764119601","0.499723434972","0.00949047864618","0.0430730492254"
"Lightspeed Venture Partners","0.0062629468","0.247508305648","0.247508305648","0.485983584927","0.00685069351825","0.0430730492254"
"RRE Ventures","0.00610198163537","0.234219269103","0.234219269103","0.48303226761","0.0058772711571","0.0430730492254"
"Founders Fund","0.00604989083388","0.220930232558","0.220930232558","0.470183133398","0.00445910898746","0.0430730492254"
"Highland Capital Partners","0.00593844847283","0.255813953488","0.255813953488","0.497639082793","0.0136441088855","0.0430730492254"
"SoftTech VC","0.00593730378217","0.224252491694","0.224252491694","0.478671896087","0.00645476265109","0.0430730492254"
"BoxGroup","0.00585898174513","0.181063122924","0.181063122924","0.455812684239","0.00251789821737","0.0430730492254"
"Atlas Venture","0.00556233028372","0.212624584718","0.212624584718","0.487472809396","0.0152529793172","0.0430730492254"
"Venrock","0.0054317732187","0.224252491694","0.224252491694","0.478671896087","0.00620369897547","0.0430730492254"
"Goldman Sachs","0.00529775981684","0.224252491694","0.224252491694","0.485489196743","0.00940860304979","0.0430730492254"
"InterWest Partners","0.00521226078116","0.234219269103","0.234219269103","0.484012049086","0.00722260175837","0.0430730492254"
"Greycroft Partners","0.00515835519447","0.196013289037","0.196013289037","0.468337468497","0.00981281034838","0.0430730492254"
"Silicon Valley Bank","0.00510576867545","0.257475083056","0.257475083056","0.499200711714","0.0155931307539","0.0430730492254"
"betaworks","0.00507815383431","0.151162790698","0.151162790698","0.449798190762","0.00331986073977","0.0430730492254"
"True Ventures","0.00504481280403","0.187707641196","0.187707641196","0.464689270106","0.00522586526341","0.0430730492254"
"FLOODGATE","0.00497830818727","0.182724252492","0.182724252492","0.45976481734","0.00311874934014","0.0430730492254"
"US Venture Partners","0.00494864840983","0.224252491694","0.224252491694","0.479634050652","0.00608669829371","0.0430730492254"
"Polaris Partners","0.00483813419933","0.200996677741","0.200996677741","0.47438954314","0.00523826965793","0.0430730492254"
"Norwest Venture Partners","0.00479589874798","0.199335548173","0.199335548173","0.466506236949","0.004688783903","0.0430730492254"
"Canaan Partners","0.00468772963991","0.215946843854","0.215946843854","0.477713593993","0.0125721905107","0.0430730492254"
